SampleIndex,Dice,HD95
0,0.8188,59.4306
1,0.7961,61.7171
2,0.6784,21.6622
3,0.8114,31.0644
4,0.1845,90.8240
5,0.5684,90.8339
6,0.7855,76.2758
7,0.4335,69.2892
8,0.4620,60.2495
9,0.6024,49.7594
10,0.5051,97.9234
11,0.7374,63.1348
12,0.5506,59.4475
13,0.5413,76.4003
14,0.6567,80.4674
15,0.7190,64.0156
16,0.6266,40.4475
17,0.6078,64.0703
18,0.7201,38.1707
19,0.6130,57.3253
20,0.7204,85.9232
21,0.6575,85.2408
22,0.6670,46.4973
23,0.7542,44.8330
24,0.6528,80.9259
25,0.7630,68.6731
26,0.7464,17.3781
27,0.6334,60.5723
28,0.6341,45.5412
29,0.6984,31.7962
30,0.7855,47.1885
31,0.7644,50.7050
32,0.7489,25.0000
33,0.7405,30.2324
34,0.5659,57.8446
35,0.5279,69.7227
36,0.4930,83.1505
37,0.7817,77.0831
38,0.7416,79.9375
39,0.5903,72.8903
40,0.7337,66.4379
41,0.7172,69.1231
42,0.7039,57.8338
43,0.6614,68.8840
44,0.6644,67.1565
45,0.7275,66.7832
46,0.7891,47.7399
47,0.7840,63.8827
48,0.7426,71.0306
49,0.6060,75.2396
50,0.7183,51.6236
51,0.6552,48.9183
52,0.5602,71.3151
53,0.7221,67.7864
54,0.7932,23.4307
55,0.7908,70.1484
56,0.7662,48.1041
57,0.7654,31.6386
58,0.6136,42.3556
59,0.6283,48.7237
60,0.8084,57.3907
61,0.7629,47.8435
62,0.8089,65.4194
63,0.8311,9.2736
64,0.7888,13.0000
65,0.8194,51.4781
66,0.7757,49.9300
