Sample,Dice,HD95
0_0,1.0000,8.3666
1_0,1.0000,5.0000
2_0,1.0000,9.8489
3_0,1.0000,4.8990
4_0,0.6217,14.4914
5_0,1.0000,2.8284
6_0,1.0000,3.0000
7_0,1.0000,7.6059
8_0,1.0000,4.3589
9_0,1.0000,7.0711
10_0,1.0000,5.3852
11_0,1.0000,2.2361
12_0,1.0000,5.0000
13_0,1.0000,7.1414
14_0,1.0000,2.2361
15_0,1.0000,3.0000
16_0,1.0000,30.3645
17_0,1.0000,3.3166
18_0,0.9270,40.0749
19_0,1.0000,2.4495
20_0,1.0000,2.4495
21_0,1.0000,5.0990
22_0,1.0000,2.4495
23_0,1.0000,4.6904
24_0,1.0000,5.1233
25_0,1.0000,4.1231
26_0,1.0000,5.0000
27_0,1.0000,21.5870
28_0,1.0000,30.0000
29_0,1.0000,8.3066
30_0,1.0000,5.6569
31_0,1.0000,4.5826
32_0,1.0000,8.0000
33_0,1.0000,4.0000
34_0,1.0000,8.0623
35_0,1.0000,2.8284
36_0,1.0000,14.7817
37_0,1.0000,1.4142
38_0,1.0000,4.2426
39_0,1.0000,2.4495
40_0,1.0000,2.2361
41_0,1.0000,3.7417
42_0,1.0000,4.2426
43_0,1.0000,8.7750
44_0,1.0000,7.2801
45_0,1.0000,2.8284
46_0,1.0000,6.7823
47_0,1.0000,2.2361
48_0,1.0000,2.2361
49_0,1.0000,61.1474
50_0,1.0000,2.2361
51_0,1.0000,2.4495
52_0,1.0000,5.0000
53_0,1.0000,3.1623
54_0,1.0000,4.2426
55_0,1.0000,2.2361
56_0,1.0000,8.2462
57_0,1.0000,2.2361
58_0,1.0000,3.0000
59_0,1.0000,3.0000
60_0,1.0000,3.0000
61_0,1.0000,3.6056
62_0,1.0000,5.3852
63_0,1.0000,4.0000
64_0,1.0000,3.7417
65_0,1.0000,53.4733
66_0,1.0000,5.0990
Average,0.9933,7.8976
