Sample,Dice,HD95
0_0,1.0000,67.7791
1_0,1.0000,64.2573
2_0,1.0000,25.0200
3_0,1.0000,35.3553
4_0,0.4172,85.0188
5_0,0.9228,83.6463
6_0,1.0000,68.9075
7_0,0.5334,69.4262
8_0,0.6319,63.6318
9_0,0.8764,52.4881
10_0,0.6653,98.8130
11_0,1.0000,63.6318
12_0,0.9018,57.9810
13_0,0.8442,78.4729
14_0,1.0000,81.7618
15_0,1.0000,65.2993
16_0,1.0000,37.8153
17_0,1.0000,60.0417
18_0,1.0000,40.3113
19_0,1.0000,54.8179
20_0,1.0000,88.6476
21_0,1.0000,87.8521
22_0,1.0000,43.9431
23_0,1.0000,43.5660
24_0,0.9937,83.2827
25_0,1.0000,71.3863
26_0,1.0000,13.4181
27_0,1.0000,62.8411
28_0,1.0000,48.8467
29_0,1.0000,32.7567
30_0,1.0000,49.2037
31_0,1.0000,54.3134
32_0,1.0000,27.0000
33_0,1.0000,39.3700
34_0,1.0000,47.5547
35_0,0.7009,70.6682
36_0,0.5795,84.9835
37_0,1.0000,80.0062
38_0,1.0000,73.9878
39_0,0.7249,73.9865
40_0,0.9835,68.5996
41_0,0.9852,70.6045
42_0,1.0000,59.2166
43_0,0.9130,71.0282
44_0,1.0000,67.3869
45_0,1.0000,69.3830
46_0,1.0000,41.8760
47_0,1.0000,67.9809
48_0,1.0000,90.8735
49_0,0.9609,79.3927
50_0,0.9858,73.5507
51_0,1.0000,30.8853
52_0,1.0000,62.6817
53_0,1.0000,69.9846
54_0,1.0000,40.6202
55_0,1.0000,73.0890
56_0,1.0000,50.0120
57_0,1.0000,19.3391
58_0,1.0000,38.0263
59_0,1.0000,34.5261
60_0,1.0000,59.5063
61_0,1.0000,52.1651
62_0,1.0000,75.1665
63_0,1.0000,8.3666
64_0,1.0000,6.7823
65_0,1.0000,55.6866
66_0,1.0000,57.3236
Average,0.9496,58.5992
