Sample,Dice,HD95
0_0,1.0000,5.4772
1_0,1.0000,7.0711
2_0,0.7887,17.2627
3_0,1.0000,21.6795
4_0,0.0000,nan
5_0,1.0000,66.6119
6_0,1.0000,4.3589
7_0,1.0000,52.7229
8_0,1.0000,60.1498
9_0,1.0000,49.0505
10_0,1.0000,99.5650
11_0,1.0000,4.4721
12_0,1.0000,11.3578
13_0,1.0000,72.0139
14_0,1.0000,73.8952
15_0,1.0000,4.2426
16_0,1.0000,32.5200
17_0,1.0000,8.7750
18_0,1.0000,38.3275
19_0,1.0000,19.3546
20_0,1.0000,4.0000
21_0,1.0000,83.7016
22_0,1.0000,8.7750
23_0,1.0000,8.1240
24_0,1.0000,7.0000
25_0,1.0000,47.1360
26_0,1.0000,8.3666
27_0,1.0000,15.6205
28_0,1.0000,45.1885
29_0,1.0000,10.8628
30_0,1.0000,8.6603
31_0,1.0000,8.2462
32_0,1.0000,24.0832
33_0,1.0000,18.1659
34_0,0.4357,6.0000
35_0,1.0000,5.0000
36_0,1.0000,8.6023
37_0,1.0000,2.8284
38_0,1.0000,5.0990
39_0,1.0000,6.1644
40_0,1.0000,5.0000
41_0,1.0000,7.0000
42_0,1.0000,5.4772
43_0,1.0000,68.2642
44_0,1.0000,7.1414
45_0,1.0000,5.3852
46_0,1.0000,8.4853
47_0,1.0000,4.2426
48_0,1.0000,92.0494
49_0,1.0000,61.5549
50_0,1.0000,36.0694
51_0,1.0000,7.0711
52_0,0.7300,12.8062
53_0,1.0000,6.4807
54_0,1.0000,7.8740
55_0,1.0000,5.3852
56_0,1.0000,8.7750
57_0,1.0000,7.0711
58_0,1.0000,13.7477
59_0,0.9771,15.9374
60_0,1.0000,7.0711
61_0,1.0000,8.4853
62_0,1.0000,8.4853
63_0,1.0000,8.1240
64_0,1.0000,7.3485
65_0,1.0000,53.8516
66_0,1.0000,8.8318
Average,0.9691,nan
