Sample,Dice,HD95
0_0,1.0000,7.3485
1_0,1.0000,5.0990
2_0,1.0000,12.5300
3_0,1.0000,25.4538
4_0,1.0000,8.5936
5_0,1.0000,4.2426
6_0,1.0000,3.0000
7_0,1.0000,7.5498
8_0,1.0000,5.0000
9_0,1.0000,43.6944
10_0,1.0000,5.0990
11_0,1.0000,2.0000
12_0,1.0000,3.7417
13_0,1.0000,7.0000
14_0,1.0000,2.0000
15_0,1.0000,5.6569
16_0,1.0000,24.1039
17_0,1.0000,3.0000
18_0,0.7340,43.2204
19_0,1.0000,2.0000
20_0,1.0000,3.0000
21_0,1.0000,3.6056
22_0,1.0000,2.2361
23_0,1.0000,3.1623
24_0,1.0000,4.5826
25_0,1.0000,3.3166
26_0,1.0000,5.7446
27_0,1.0000,21.1187
28_0,0.9583,47.7074
29_0,1.0000,6.1644
30_0,1.0000,5.0000
31_0,1.0000,3.6056
32_0,1.0000,22.2834
33_0,1.0000,10.4881
34_0,1.0000,6.5726
35_0,1.0000,1.4142
36_0,1.0000,15.2315
37_0,1.0000,1.0000
38_0,1.0000,3.1623
39_0,1.0000,1.4142
40_0,1.0000,1.4142
41_0,1.0000,2.2361
42_0,1.0000,2.2361
43_0,1.0000,5.3852
44_0,1.0000,4.3589
45_0,1.0000,1.7321
46_0,1.0000,2.8284
47_0,1.0000,1.4142
48_0,1.0000,1.7321
49_0,0.6830,73.0069
50_0,1.0000,17.1041
51_0,1.0000,1.7321
52_0,1.0000,6.3246
53_0,1.0000,2.2361
54_0,1.0000,3.0000
55_0,1.0000,1.4142
56_0,1.0000,3.6056
57_0,1.0000,2.8284
58_0,1.0000,2.2361
59_0,1.0000,2.4495
60_0,1.0000,2.0000
61_0,1.0000,2.0000
62_0,1.0000,4.5826
63_0,1.0000,4.1231
64_0,1.0000,3.0000
65_0,1.0000,53.4977
66_0,1.0000,3.0000
Average,0.9907,8.9944
