Sample,Dice,HD95
0_0,1.0000,6.7823
1_0,1.0000,9.2736
2_0,1.0000,15.6844
3_0,1.0000,11.5758
4_0,0.0000,nan
5_0,1.0000,6.3246
6_0,1.0000,4.3589
7_0,1.0000,9.0000
8_0,1.0000,6.4031
9_0,1.0000,47.3904
10_0,1.0000,98.0046
11_0,1.0000,4.8990
12_0,1.0000,10.0499
13_0,1.0000,9.4340
14_0,1.0000,5.0000
15_0,1.0000,5.7446
16_0,1.0000,32.3883
17_0,1.0000,7.6811
18_0,0.6444,42.3928
19_0,1.0000,7.6158
20_0,1.0000,5.0000
21_0,1.0000,9.6954
22_0,1.0000,5.1962
23_0,1.0000,9.1652
24_0,1.0000,7.6158
25_0,1.0000,9.2736
26_0,1.0000,5.7446
27_0,1.0000,22.0227
28_0,0.9854,45.4092
29_0,1.0000,9.8489
30_0,1.0000,9.8766
31_0,1.0000,9.4868
32_0,1.0000,25.3969
33_0,1.0000,20.4206
34_0,0.6222,7.1414
35_0,1.0000,5.7446
36_0,1.0000,10.1980
37_0,1.0000,2.8284
38_0,1.0000,5.3852
39_0,1.0000,8.2462
40_0,1.0000,6.1644
41_0,1.0000,8.0623
42_0,1.0000,8.1240
43_0,1.0000,12.1244
44_0,1.0000,9.8995
45_0,1.0000,6.4031
46_0,1.0000,9.3808
47_0,1.0000,4.6904
48_0,1.0000,6.0000
49_0,1.0000,65.0846
50_0,1.0000,14.0357
51_0,1.0000,4.4721
52_0,1.0000,16.4317
53_0,1.0000,8.0623
54_0,1.0000,9.0000
55_0,1.0000,7.2801
56_0,1.0000,11.3578
57_0,1.0000,9.2736
58_0,1.0000,7.4833
59_0,1.0000,13.3417
60_0,1.0000,8.6023
61_0,1.0000,9.6954
62_0,1.0000,9.0554
63_0,1.0000,9.8995
64_0,1.0000,9.4868
65_0,1.0000,13.4907
66_0,1.0000,10.0995
Average,0.9739,nan
