Sample,Dice,HD95
0_0,1.0000,62.9444
1_0,1.0000,61.7090
2_0,0.9003,14.3527
3_0,1.0000,36.1939
4_0,0.3410,82.6138
5_0,0.7147,103.1613
6_0,1.0000,58.3129
7_0,0.6238,70.2922
8_0,0.6248,60.8441
9_0,0.8741,49.1732
10_0,0.7751,97.5961
11_0,1.0000,68.0147
12_0,0.7121,61.6920
13_0,0.6575,76.8440
14_0,0.8281,81.9902
15_0,1.0000,63.6691
16_0,0.9073,44.7772
17_0,0.6771,70.8025
18_0,0.9938,40.2877
19_0,0.7876,58.8048
20_0,0.9749,86.0116
21_0,1.0000,87.0460
22_0,0.8802,49.9800
23_0,1.0000,45.6180
24_0,0.9348,82.0850
25_0,1.0000,69.3916
26_0,0.9571,16.5529
27_0,0.8115,63.3325
28_0,0.7636,47.9270
29_0,0.8712,33.7343
30_0,1.0000,50.0600
31_0,1.0000,54.0833
32_0,0.9391,26.9258
33_0,1.0000,30.7409
34_0,0.9110,55.2359
35_0,0.8992,70.7093
36_0,0.8616,84.1724
37_0,1.0000,81.7328
38_0,1.0000,86.9149
39_0,1.0000,74.3290
40_0,1.0000,68.8447
41_0,1.0000,74.4184
42_0,0.9450,62.2013
43_0,1.0000,67.0895
44_0,0.8381,69.3203
45_0,1.0000,68.0434
46_0,1.0000,49.4571
47_0,1.0000,65.8107
48_0,1.0000,78.9769
49_0,0.5641,76.3806
50_0,1.0000,55.9464
51_0,0.8936,56.7450
52_0,0.5575,75.4785
53_0,1.0000,70.0357
54_0,1.0000,40.2119
55_0,1.0000,73.1949
56_0,1.0000,50.6231
57_0,1.0000,35.5668
58_0,0.7126,47.6865
59_0,0.6934,65.7647
60_0,1.0000,66.2895
61_0,1.0000,54.1572
62_0,1.0000,69.3830
63_0,1.0000,12.1244
64_0,1.0000,32.6650
65_0,1.0000,49.0255
66_0,0.9752,55.6934
Average,0.9015,60.4745
