Experiment,Server Dice Mean,Server Dice Std,Server HD95 Mean,Server HD95 Std,Client1 Dice Mean,Client1 Dice Std,Client1 HD95 Mean,Client1 HD95 Std,Client2 Dice Mean,Client2 Dice Std,Client2 HD95 Mean,Client2 HD95 Std,Client3 Dice Mean,Client3 Dice Std,Client3 HD95 Mean,Client3 HD95 Std,Client4 Dice Mean,Client4 Dice Std,Client4 HD95 Mean,Client4 HD95 Std
FedWSOCom30%C3IID,0.9261,0.1407,57.7035,19.4815,0.467,0.2466,74.0201,19.2528,0.3983,0.3995,85.4636,9.9294,0.7822,0.2642,59.3261,24.685,0.9374,0.125,57.1636,16.5557
FedWSOCom60%C32IID,0.9801,0.1247,13.737,15.7131,0.8042,0.3154,10.6916,6.9539,0.5626,0.467,12.868,9.1362,0.7475,0.4007,11.949,9.2363,0.9752,0.0711,14.2037,9.8357
FedAvgIID,0.9933,0.0466,7.8976,11.0427,0.8536,0.3164,14.5151,17.8861,0.755,0.3639,10.9262,8.4456,0.9526,0.1146,9.9101,8.6157,1.0,0.0,13.1883,13.8933
FedWSOCom20%C3IID,0.7748,0.2118,69.2333,13.2758,0.2357,0.1157,80.9951,17.3956,0.2045,0.1704,88.4373,7.259,0.6852,0.3184,69.2822,16.9875,0.7389,0.2373,68.5968,11.5131
FedAvgNON-IID,0.9907,0.0499,8.9944,13.7461,0.9,0.3,5.0694,3.9017,0.6584,0.372,13.6476,10.3465,0.7946,0.3976,7.5373,7.4289,1.0,0.0,12.8975,14.436
FedWSOCom20%C64IID,0.9496,0.1247,58.5992,20.5234,0.5569,0.2667,72.4692,19.7578,0.4823,0.3689,80.8952,14.0112,0.9247,0.1311,58.3094,22.9104,0.9671,0.0541,59.7054,18.021
FedWSOCom20%C32NON-IID,0.976,0.1232,37.657,29.1343,0.8284,0.2503,50.1578,10.8004,0.4237,0.3959,69.1897,19.1905,0.8072,0.2987,35.9211,29.8203,1.0,0.0,38.13,26.8586
FedWSOCom20%C32IID,0.9454,0.1313,61.2277,18.7264,0.5445,0.2511,73.3547,19.4151,0.4588,0.3732,83.3904,12.3111,0.8878,0.1784,60.0764,21.9401,0.9359,0.0798,61.7101,16.6333
FedWSOCom30%C64IID,0.9698,0.1168,26.5858,25.5039,0.848,0.2396,32.4212,19.0262,0.446,0.3887,48.3207,36.2889,0.7976,0.3111,25.4114,16.4647,0.9883,0.035,27.7403,21.0124
FedWSOCom60%C32NON-IID,0.9739,0.1352,13.344,15.2328,0.6967,0.4399,8.739,6.891,0.3087,0.4529,17.9331,12.6499,0.7,0.4583,15.2125,19.0548,0.9133,0.2602,12.1027,7.6239
FedWSOCom20%C64NON-IID,0.9796,0.1161,44.7368,27.3366,0.8203,0.2468,59.7611,9.6114,0.48,0.3689,74.7252,15.0217,0.8411,0.2467,37.3195,29.9618,1.0,0.0,45.7913,23.6109
FedWSOCom30%C32NON-IID,0.9773,0.1282,27.0164,27.4879,0.8496,0.2489,32.4277,21.4216,0.4014,0.4067,49.3099,33.6564,0.7652,0.3614,33.2706,27.4712,0.9869,0.0394,28.791,26.5487
FedWSOCom30%C32IID,0.9682,0.1221,25.2515,24.9299,0.846,0.2446,26.9543,20.4612,0.4272,0.3975,46.9532,35.9901,0.783,0.3264,24.0361,13.5342,0.9855,0.0434,22.236,18.1893
FedWSOCom60%C3NON-IID,0.9788,0.0929,50.2129,25.2653,0.8253,0.2325,68.4976,16.9936,0.4811,0.367,69.8185,27.2028,0.8386,0.2181,39.9342,27.89,1.0,0.0,47.9228,26.8373
FedWSOCom60%C3IID,0.9015,0.1438,60.4745,18.8829,0.6278,0.2787,75.407,18.4806,0.3705,0.3357,86.9041,10.4375,0.706,0.2586,58.0829,22.7735,0.932,0.0915,63.1883,15.9885
FedWSOCom30%C3NON-IID,0.9624,0.1133,54.0244,22.7709,0.7623,0.2782,69.8943,19.5142,0.4511,0.3803,71.8483,25.7941,0.8305,0.2347,41.0331,29.9211,0.9876,0.0254,51.607,22.1512
FedWSOCom30%C64NON-IID,0.9691,0.1431,22.2507,24.9278,0.9047,0.2141,29.5789,21.8573,0.3736,0.4207,43.5394,34.1509,0.7369,0.4038,28.9164,23.1436,0.9533,0.1134,28.2339,27.0793
FedWSOCom60%C64IID,0.9799,0.125,14.11,15.7386,0.8081,0.3132,9.7526,7.3785,0.5281,0.4444,11.6379,8.3671,0.7485,0.3985,12.2306,8.8714,0.967,0.0844,14.1753,9.958
FedWSOCom60%C64NON-IID,0.9773,0.0907,10.4043,15.5421,0.9902,0.0293,5.1476,4.1738,0.7929,0.3445,10.188,8.2367,0.8334,0.3414,11.7855,10.4505,0.9849,0.0452,17.5575,15.3075
FedWSOCom20%C3NON-IID,0.9221,0.148,61.353,18.4792,0.5547,0.2823,74.3164,18.7707,0.4237,0.3831,82.082,13.387,0.8208,0.2328,58.3339,22.5583,0.915,0.1448,61.0815,15.3458
