Sample,Dice,HD95
0_0,1.0000,9.2195
1_0,1.0000,5.0990
2_0,1.0000,11.4455
3_0,1.0000,6.4031
4_0,0.7418,11.7409
5_0,1.0000,3.6056
6_0,1.0000,3.1623
7_0,1.0000,7.8740
8_0,1.0000,5.4772
9_0,1.0000,48.6826
10_0,1.0000,98.6326
11_0,1.0000,2.8284
12_0,1.0000,21.4009
13_0,1.0000,8.2462
14_0,1.0000,3.1623
15_0,1.0000,3.4641
16_0,1.0000,29.4279
17_0,1.0000,4.1231
18_0,0.8145,42.9535
19_0,1.0000,3.4641
20_0,1.0000,3.7417
21_0,1.0000,6.1644
22_0,1.0000,3.0000
23_0,1.0000,6.5574
24_0,1.0000,5.8310
25_0,1.0000,71.2201
26_0,1.0000,5.0000
27_0,1.0000,21.0950
28_0,1.0000,46.4866
29_0,1.0000,4.5826
30_0,1.0000,6.4031
31_0,1.0000,5.1962
32_0,1.0000,24.7386
33_0,1.0000,17.0294
34_0,1.0000,8.6023
35_0,1.0000,3.7417
36_0,1.0000,7.5166
37_0,1.0000,2.1180
38_0,1.0000,4.5826
39_0,1.0000,4.5826
40_0,1.0000,3.0000
41_0,1.0000,4.5826
42_0,1.0000,5.3852
43_0,1.0000,10.0000
44_0,1.0000,6.6632
45_0,1.0000,3.7417
46_0,1.0000,7.3485
47_0,1.0000,3.0000
48_0,1.0000,3.1623
49_0,0.9911,76.7919
50_0,1.0000,5.0000
51_0,1.0000,2.8284
52_0,1.0000,5.3852
53_0,1.0000,4.4721
54_0,1.0000,5.3852
55_0,1.0000,2.8284
56_0,1.0000,9.3808
57_0,1.0000,3.3166
58_0,1.0000,3.6056
59_0,1.0000,3.1623
60_0,1.0000,4.2426
61_0,1.0000,5.0000
62_0,1.0000,5.8310
63_0,1.0000,4.8990
64_0,1.0000,4.6904
65_0,1.0000,53.9815
66_0,1.0000,6.4031
Average,0.9932,12.5775
