Sample,Dice,HD95
0_0,1.0000,3.0000
1_0,1.0000,2.2361
2_0,1.0000,2.8284
3_0,1.0000,5.3852
4_0,1.0000,17.0880
5_0,1.0000,3.1623
6_0,1.0000,1.4142
7_0,1.0000,2.8284
8_0,1.0000,3.6056
9_0,1.0000,1.7321
10_0,1.0000,4.2426
11_0,1.0000,4.4721
12_0,1.0000,1.7321
13_0,1.0000,4.4721
14_0,1.0000,3.0000
15_0,1.0000,11.0000
16_0,1.0000,3.0000
17_0,0.0000,nan
18_0,1.0000,7.0711
19_0,1.0000,4.6904
20_0,1.0000,2.8284
21_0,1.0000,6.1644
22_0,1.0000,3.0000
23_0,1.0000,3.7417
24_0,1.0000,3.6056
25_0,0.9097,4.8990
26_0,1.0000,5.6569
27_0,1.0000,1.4142
28_0,1.0000,3.7417
29_0,1.0000,6.0000
30_0,1.0000,7.0711
31_0,1.0000,4.1231
32_0,1.0000,3.6056
33_0,1.0000,3.0000
34_0,1.0000,5.0000
35_0,1.0000,3.7417
36_0,1.0000,9.6437
37_0,1.0000,3.0000
38_0,1.0000,11.0454
39_0,1.0000,4.0000
40_0,1.0000,11.1803
41_0,1.0000,13.0384
42_0,1.0000,4.0000
43_0,1.0000,2.8284
44_0,1.0000,6.4807
45_0,1.0000,4.4721
46_0,1.0000,17.3003
47_0,1.0000,1.7321
48_0,0.2122,10.1980
49_0,1.0000,13.9337
50_0,1.0000,2.2361
51_0,1.0000,10.5093
Average,0.9639,nan
