Sample,Dice,HD95
0_0,1.0000,13.8780
1_0,1.0000,5.7446
2_0,1.0000,11.5758
3_0,1.0000,6.4807
4_0,0.8392,12.3693
5_0,1.0000,2.8284
6_0,1.0000,2.8284
7_0,1.0000,7.6811
8_0,1.0000,4.8990
9_0,1.0000,34.4571
10_0,1.0000,5.8437
11_0,1.0000,2.4495
12_0,1.0000,6.4031
13_0,1.0000,8.0623
14_0,1.0000,2.8284
15_0,1.0000,2.8284
16_0,1.0000,29.4279
17_0,1.0000,3.3166
18_0,0.9104,40.1622
19_0,1.0000,2.8284
20_0,1.0000,3.3166
21_0,1.0000,5.7446
22_0,1.0000,3.0000
23_0,1.0000,6.3835
24_0,1.0000,5.3852
25_0,1.0000,5.0990
26_0,1.0000,5.0990
27_0,1.0000,21.5870
28_0,1.0000,41.6293
29_0,1.0000,9.4868
30_0,1.0000,6.0828
31_0,1.0000,5.0990
32_0,1.0000,7.3485
33_0,1.0000,4.8990
34_0,1.0000,8.3066
35_0,1.0000,5.0000
36_0,1.0000,7.0711
37_0,1.0000,1.7321
38_0,1.0000,4.2426
39_0,1.0000,5.7446
40_0,1.0000,2.4495
41_0,1.0000,5.0000
42_0,1.0000,5.0990
43_0,1.0000,10.0000
44_0,1.0000,7.8740
45_0,1.0000,3.1623
46_0,1.0000,7.1414
47_0,1.0000,3.0000
48_0,1.0000,2.8284
49_0,1.0000,60.3195
50_0,1.0000,4.1231
51_0,1.0000,3.0000
52_0,1.0000,5.1962
53_0,1.0000,4.6904
54_0,1.0000,5.7446
55_0,1.0000,3.0000
56_0,1.0000,9.1104
57_0,1.0000,2.4495
58_0,1.0000,3.7417
59_0,1.0000,3.1623
60_0,1.0000,4.2426
61_0,1.0000,5.0000
62_0,1.0000,5.3852
63_0,1.0000,4.4721
64_0,1.0000,4.4721
65_0,1.0000,53.5322
66_0,1.0000,6.4031
Average,0.9963,9.0112
