Sample,Dice,HD95
0_0,1.0000,7.0000
1_0,1.0000,7.1414
2_0,0.9424,16.5831
3_0,1.0000,9.8995
4_0,0.0000,nan
5_0,1.0000,6.1644
6_0,1.0000,4.8990
7_0,1.0000,8.9443
8_0,1.0000,6.4807
9_0,1.0000,47.5815
10_0,1.0000,7.8740
11_0,1.0000,4.5826
12_0,1.0000,9.4340
13_0,1.0000,10.0000
14_0,1.0000,5.0000
15_0,1.0000,5.0990
16_0,1.0000,29.8831
17_0,1.0000,5.0000
18_0,0.8216,40.0000
19_0,1.0000,5.8310
20_0,1.0000,5.3852
21_0,1.0000,8.7750
22_0,1.0000,4.8990
23_0,1.0000,8.6023
24_0,1.0000,7.6158
25_0,1.0000,9.2736
26_0,1.0000,5.8310
27_0,1.0000,22.0000
28_0,1.0000,43.0000
29_0,1.0000,15.0000
30_0,1.0000,9.0554
31_0,1.0000,7.5498
32_0,1.0000,20.2571
33_0,1.0000,19.6469
34_0,1.0000,8.1363
35_0,1.0000,7.3485
36_0,1.0000,9.1923
37_0,1.0000,3.7417
38_0,1.0000,5.0990
39_0,1.0000,9.6437
40_0,1.0000,6.5574
41_0,1.0000,8.3066
42_0,1.0000,8.3066
43_0,1.0000,12.0830
44_0,1.0000,5.7446
45_0,1.0000,6.1644
46_0,1.0000,9.6954
47_0,1.0000,5.0990
48_0,1.0000,5.0000
49_0,1.0000,66.9055
50_0,1.0000,10.6301
51_0,1.0000,4.1231
52_0,1.0000,11.8322
53_0,1.0000,9.4340
54_0,1.0000,8.1854
55_0,1.0000,5.1962
56_0,1.0000,12.3693
57_0,1.0000,6.4031
58_0,1.0000,6.7823
59_0,1.0000,8.0000
60_0,1.0000,8.7750
61_0,1.0000,8.1240
62_0,1.0000,9.2736
63_0,1.0000,8.1240
64_0,1.0000,8.0623
65_0,1.0000,50.9475
66_0,1.0000,10.0499
Average,0.9816,nan
