Sample,Dice,HD95
0_0,0.2828,92.2497
1_0,0.2720,71.4703
2_0,0.7825,90.0902
3_0,0.4662,72.5396
4_0,0.2394,58.7367
5_0,0.3184,83.6002
6_0,0.8258,93.0699
7_0,0.7309,70.0357
8_0,0.3278,89.8499
9_0,0.3266,81.6945
10_0,0.2877,79.7684
11_0,0.9163,51.1957
12_0,0.2342,110.8783
13_0,0.6798,64.5446
14_0,0.6266,68.2495
15_0,0.1339,87.6413
16_0,0.6323,73.7970
17_0,0.1077,64.8768
18_0,0.1463,72.5810
19_0,0.3469,76.7594
20_0,0.4601,72.5259
21_0,0.7030,68.4544
22_0,0.1236,107.9398
23_0,0.5379,76.7203
24_0,0.5819,64.4515
25_0,0.0540,97.5961
26_0,0.8513,54.0185
27_0,0.2108,89.3588
28_0,0.3204,72.7393
29_0,0.9065,46.6154
30_0,0.3341,85.6154
31_0,0.5579,75.7496
32_0,0.5707,58.3866
33_0,0.8121,56.5410
34_0,0.1149,95.6138
35_0,0.3415,84.1139
36_0,0.6843,57.4504
37_0,0.4678,86.6833
38_0,0.1940,92.5117
39_0,0.8880,54.7814
40_0,0.2454,80.0812
41_0,0.2965,57.1139
42_0,0.4135,91.0275
43_0,0.9349,83.5344
44_0,0.7896,65.3911
45_0,0.4787,79.2338
46_0,0.2143,72.9109
47_0,0.6874,76.6355
48_0,0.0283,115.0043
49_0,0.5659,62.7774
50_0,0.5998,66.7383
51_0,0.1782,59.8164
Average,0.4583,76.1877
