Sample,Dice,HD95
0_0,0.8463,64.2884
1_0,0.8913,60.7783
2_0,0.5334,65.5820
3_0,0.9577,74.1687
4_0,0.0359,96.0469
5_0,0.2239,104.2401
6_0,0.4516,95.6504
7_0,0.3691,102.3977
8_0,0.3792,62.8729
9_0,0.3953,53.0094
10_0,0.4787,95.0947
11_0,0.4205,67.8307
12_0,0.4606,68.0074
13_0,0.3765,76.7398
14_0,0.4800,80.1187
15_0,0.4181,66.2521
16_0,0.3466,63.8514
17_0,0.3939,73.6071
18_0,0.7809,57.2800
19_0,0.3963,66.8805
20_0,0.6588,86.9828
21_0,0.5171,84.2437
22_0,0.5721,64.9692
23_0,0.7426,69.1086
24_0,0.5829,82.0792
25_0,0.6339,67.7274
26_0,0.6471,54.6626
27_0,0.5668,65.1920
28_0,0.6896,58.1120
29_0,0.5237,47.1911
30_0,0.8075,67.1863
31_0,0.6388,66.5282
32_0,0.9778,57.9914
33_0,0.8749,50.8134
34_0,0.1254,75.2396
35_0,0.3087,83.7675
36_0,0.3194,79.7684
37_0,0.3671,89.4259
38_0,0.4011,97.5551
39_0,0.4878,89.5489
40_0,0.5511,77.0714
41_0,0.6193,98.1529
42_0,0.6020,70.6329
43_0,0.4565,75.7166
44_0,0.3616,76.7724
45_0,0.4654,75.1931
46_0,0.6307,81.3204
47_0,0.7742,74.1148
48_0,0.5807,89.0898
49_0,0.5454,76.0658
50_0,0.7557,76.8635
51_0,0.5118,76.6420
52_0,0.4464,75.3724
53_0,0.6999,71.4563
54_0,0.7390,60.4152
55_0,0.6601,75.4586
56_0,0.7575,63.4114
57_0,0.7739,85.7555
58_0,0.6637,56.5774
59_0,0.5476,66.7907
60_0,0.9022,71.2461
61_0,0.8659,69.6491
62_0,1.0000,77.6660
63_0,1.0000,68.2715
64_0,0.7116,63.7260
65_0,1.0000,66.3777
66_0,0.8952,57.4978
Average,0.5910,73.2850
