Experiment,Server Dice Mean,Server Dice Std,Server HD95 Mean,Server HD95 Std,Client1 Dice Mean,Client1 Dice Std,Client1 HD95 Mean,Client1 HD95 Std,Client2 Dice Mean,Client2 Dice Std,Client2 HD95 Mean,Client2 HD95 Std,Client3 Dice Mean,Client3 Dice Std,Client3 HD95 Mean,Client3 HD95 Std,Client4 Dice Mean,Client4 Dice Std,Client4 HD95 Mean,Client4 HD95 Std
SH_IID,0.9391,0.1309,41.0501,30.2604,0.7187,0.2811,30.6114,20.6007,0.7975,0.3356,32.7327,31.0899,1.0,0.0,27.1446,18.7287,0.9225,0.082,42.4966,28.4882
NonIID_KHC32,0.9815,0.0774,9.911,14.4739,0.979,0.1377,6.0909,5.2891,0.8831,0.3092,7.1314,7.3131,0.9375,0.2421,7.797,7.215,0.9741,0.0933,15.3915,15.268
NonIID_SKHS60C32,0.9819,0.0718,9.6543,14.4721,0.9789,0.1377,6.6957,7.2953,0.8906,0.2993,8.1017,8.3522,0.9753,0.0958,7.2033,4.5298,0.977,0.0829,14.7193,15.2335
IID-SKHS60C32,0.9816,0.1229,11.9337,11.9613,0.79,0.3636,10.9765,7.8372,0.4488,0.4349,13.1935,10.127,0.7061,0.4493,9.8907,8.0187,0.9203,0.2392,13.4582,10.1956
SH30_IID,0.7353,0.1712,68.8928,12.7569,0.3004,0.1381,77.1942,17.0731,0.3968,0.2719,85.6995,9.2928,0.701,0.2807,68.5134,16.5081,0.6496,0.2691,69.0193,11.5546
Fedavg-IID,0.9932,0.0383,12.5775,18.8715,0.8985,0.2993,12.3228,16.7883,0.7056,0.391,11.3,9.183,0.9823,0.0532,11.3918,9.5461,1.0,0.0,14.1193,13.5365
NonIID_KH64,0.99,0.0492,8.5073,13.0288,0.9677,0.1645,5.5081,4.222,0.8436,0.3279,8.2724,9.2672,0.9428,0.1931,8.3253,7.9456,0.978,0.0795,12.1809,15.2661
SH30_NonIID,0.9865,0.048,56.0037,22.6233,0.9624,0.1162,56.2323,24.0887,0.8761,0.234,57.1808,21.4664,0.9749,0.073,44.5837,26.7969,0.9865,0.0365,54.908,18.1733
NonIID_KHC3,0.8509,0.1804,68.6875,14.5823,0.7366,0.2711,71.6916,15.1616,0.599,0.337,73.5665,14.5261,0.7893,0.2176,67.2536,15.1887,0.9077,0.115,61.1288,11.0871
SH20_NonIID,0.8873,0.1729,57.4344,19.3226,0.9321,0.1688,56.0716,20.6463,0.8602,0.2447,62.6601,16.7673,0.9432,0.1014,48.6277,22.2119,0.8892,0.1715,54.3975,13.4101
IID_KH3,0.591,0.2143,73.285,12.6944,0.4583,0.2567,76.1877,15.3076,0.4035,0.2821,76.4716,14.139,0.5368,0.2433,73.2081,13.1209,0.6814,0.185,64.7656,8.3573
IID_KH32,0.985,0.1212,10.8201,15.7239,0.8801,0.2993,13.4802,18.4663,0.6314,0.4458,12.5004,9.4215,0.79,0.3405,10.7938,9.5749,1.0,0.0,14.0426,12.5057
IID-KH64,0.9963,0.0222,9.0112,11.6205,0.8913,0.2968,8.5466,7.969,0.7817,0.3245,9.0747,7.7663,0.9691,0.0722,8.0663,7.3017,1.0,0.0,13.3691,13.8467
SH_NonIID,0.9809,0.0838,23.0369,27.0674,0.9651,0.1661,16.3192,24.1541,0.9323,0.2269,10.9194,13.3787,1.0,0.0,24.7426,37.2879,0.9701,0.1077,36.3971,25.6091
FedavgNon_IID,0.9907,0.0499,8.9944,13.7461,0.9639,0.1733,5.4932,3.878,0.8272,0.3379,7.843,8.5458,0.9428,0.1649,8.5044,7.9717,0.9744,0.0682,13.6705,14.3975
SH20_IID,0.738,0.2252,61.4949,18.2945,0.2602,0.1438,74.5896,17.8395,0.4,0.3156,83.4292,12.4333,0.8677,0.1677,61.5256,21.259,0.6379,0.1635,60.9548,16.4243
