Sample,Dice,HD95
0_0,1.0000,2.2361
1_0,1.0000,2.2361
2_0,1.0000,2.2361
3_0,1.0000,6.0000
4_0,1.0000,19.1050
5_0,1.0000,3.1623
6_0,1.0000,1.4142
7_0,1.0000,2.8284
8_0,1.0000,2.8284
9_0,1.0000,2.0000
10_0,1.0000,4.3589
11_0,1.0000,4.5826
12_0,1.0000,1.4142
13_0,1.0000,3.6056
14_0,1.0000,3.0000
15_0,1.0000,10.9545
16_0,1.0000,2.8284
17_0,0.0000,nan
18_0,1.0000,6.7082
19_0,1.0000,4.6904
20_0,1.0000,2.8284
21_0,1.0000,6.1644
22_0,1.0000,11.0454
23_0,1.0000,4.1231
24_0,1.0000,3.1623
25_0,1.0000,2.4495
26_0,1.0000,6.4031
27_0,1.0000,1.4142
28_0,1.0000,3.6056
29_0,1.0000,5.8310
30_0,1.0000,2.4495
31_0,1.0000,4.2426
32_0,1.0000,3.7417
33_0,1.0000,3.0000
34_0,1.0000,4.1231
35_0,1.0000,3.6056
36_0,1.0000,12.0830
37_0,1.0000,2.8284
38_0,1.0000,11.3137
39_0,1.0000,3.7417
40_0,1.0000,11.3578
41_0,1.0000,13.0000
42_0,1.0000,2.8284
43_0,1.0000,2.8284
44_0,1.0000,6.1644
45_0,1.0000,4.0000
46_0,1.0000,16.8819
47_0,1.0000,1.7321
48_0,0.3208,10.3561
49_0,1.0000,12.3693
50_0,1.0000,2.2361
51_0,1.0000,12.8121
Average,0.9677,nan
