Sample,Dice,HD95
0_0,1.0000,6.9282
1_0,1.0000,5.6569
2_0,1.0000,9.6954
3_0,1.0000,22.5299
4_0,1.0000,7.8102
5_0,1.0000,2.4495
6_0,1.0000,2.8284
7_0,1.0000,7.6158
8_0,1.0000,5.0990
9_0,1.0000,36.9154
10_0,1.0000,5.0990
11_0,1.0000,2.0000
12_0,1.0000,4.2426
13_0,1.0000,7.0711
14_0,1.0000,2.0000
15_0,1.0000,5.0990
16_0,1.0000,23.2594
17_0,1.0000,3.0000
18_0,0.7364,42.3438
19_0,1.0000,1.7321
20_0,1.0000,2.4495
21_0,1.0000,3.0000
22_0,1.0000,2.2361
23_0,1.0000,3.0000
24_0,1.0000,4.2426
25_0,1.0000,3.1623
26_0,1.0000,5.8310
27_0,1.0000,21.4709
28_0,0.8916,47.1699
29_0,1.0000,6.7823
30_0,1.0000,5.0000
31_0,1.0000,3.3166
32_0,1.0000,21.0000
33_0,1.0000,6.1644
34_0,1.0000,7.8102
35_0,1.0000,1.4142
36_0,1.0000,15.1658
37_0,1.0000,1.4142
38_0,1.0000,3.0000
39_0,1.0000,1.4142
40_0,1.0000,1.4142
41_0,1.0000,2.2361
42_0,1.0000,2.0000
43_0,1.0000,5.4772
44_0,1.0000,4.1231
45_0,1.0000,1.7321
46_0,1.0000,3.0000
47_0,1.0000,1.4142
48_0,1.0000,1.7321
49_0,0.7037,67.8896
50_0,1.0000,16.9115
51_0,1.0000,2.0000
52_0,1.0000,4.8990
53_0,1.0000,2.2361
54_0,1.0000,2.8284
55_0,1.0000,1.4142
56_0,1.0000,4.0000
57_0,1.0000,2.2361
58_0,1.0000,2.2361
59_0,1.0000,2.4495
60_0,1.0000,1.7321
61_0,1.0000,2.2361
62_0,1.0000,3.6056
63_0,1.0000,3.3166
64_0,1.0000,2.4495
65_0,1.0000,53.0000
66_0,1.0000,3.0000
Average,0.9900,8.5073
