Sample,Dice,HD95
0_0,0.7382,87.7679
1_0,0.4200,66.3777
2_0,1.0000,91.0934
3_0,0.7046,70.1570
4_0,0.4372,56.5951
5_0,0.7816,79.7559
6_0,1.0000,84.5706
7_0,1.0000,67.5367
8_0,0.6544,82.6626
9_0,0.5687,76.6146
10_0,0.5884,78.3262
11_0,1.0000,47.4342
12_0,0.5913,92.8889
13_0,1.0000,65.2457
14_0,0.9667,66.7608
15_0,0.3608,87.3899
16_0,0.8629,73.1369
17_0,0.2937,57.4630
18_0,0.2685,67.6757
19_0,0.6049,73.0479
20_0,0.8320,67.0746
21_0,1.0000,63.4835
22_0,0.3964,114.8956
23_0,1.0000,61.8236
24_0,1.0000,56.5774
25_0,0.2045,92.6620
26_0,1.0000,51.4004
27_0,0.4400,88.2553
28_0,0.8887,60.4649
29_0,1.0000,46.3573
30_0,0.5544,84.6168
31_0,0.9845,70.7672
32_0,1.0000,58.3524
33_0,1.0000,56.3901
34_0,0.3620,97.6422
35_0,0.7615,77.9423
36_0,0.8923,51.0000
37_0,0.9731,65.1924
38_0,0.4090,84.7880
39_0,1.0000,54.6260
40_0,0.5129,72.8934
41_0,0.6230,51.4781
42_0,1.0000,65.7039
43_0,1.0000,86.1719
44_0,1.0000,62.9285
45_0,0.8099,80.4612
46_0,0.4695,75.1931
47_0,1.0000,76.9545
48_0,0.0735,104.0507
49_0,1.0000,47.0106
50_0,0.8800,68.0955
51_0,0.3928,60.2080
Average,0.7366,71.6916
