Sample,Dice,HD95
0_0,1.0000,63.4988
1_0,1.0000,61.8466
2_0,0.8990,55.5158
3_0,1.0000,56.0808
4_0,0.1617,92.6113
5_0,0.4703,108.2636
6_0,1.0000,94.9284
7_0,0.5882,82.8855
8_0,0.6365,62.8490
9_0,0.5882,50.4172
10_0,0.5942,95.6033
11_0,0.7863,68.9493
12_0,0.6136,66.1967
13_0,0.6059,78.0320
14_0,0.6878,81.2404
15_0,0.7473,65.4446
16_0,0.7935,52.3326
17_0,0.6149,71.4703
18_0,1.0000,43.1960
19_0,0.6554,64.9707
20_0,0.9303,88.3346
21_0,0.7352,84.3801
22_0,0.8595,62.8411
23_0,1.0000,59.6909
24_0,0.7973,82.3043
25_0,1.0000,67.9474
26_0,0.9349,46.1265
27_0,0.7780,66.1060
28_0,0.8072,51.9615
29_0,0.8062,39.6737
30_0,1.0000,63.0674
31_0,1.0000,63.9609
32_0,1.0000,30.9516
33_0,1.0000,46.8295
34_0,0.5492,61.7171
35_0,0.6785,76.0263
36_0,0.6320,81.6643
37_0,1.0000,86.2902
38_0,1.0000,99.5520
39_0,0.9040,78.6069
40_0,1.0000,70.5691
41_0,1.0000,80.2303
42_0,0.8822,64.5213
43_0,0.8846,75.5314
44_0,0.6899,73.1635
45_0,0.9378,73.7225
46_0,1.0000,61.2291
47_0,1.0000,68.7168
48_0,0.9214,80.4869
49_0,0.5807,76.7463
50_0,1.0000,76.0658
51_0,1.0000,67.3647
52_0,0.6585,76.6551
53_0,0.9860,70.3776
54_0,1.0000,51.4820
55_0,1.0000,75.5116
56_0,1.0000,57.0701
57_0,1.0000,84.5009
58_0,0.8415,53.8516
59_0,0.7730,68.8549
60_0,1.0000,70.6824
61_0,1.0000,68.6440
62_0,1.0000,78.5188
63_0,1.0000,52.4309
64_0,1.0000,55.8749
65_0,1.0000,56.2317
66_0,1.0000,58.6600
Average,0.8509,68.6874
