Sample,Dice,HD95
0_0,1.0000,2.2361
1_0,1.0000,3.0000
2_0,1.0000,3.0000
3_0,1.0000,7.8740
4_0,1.0000,10.0499
5_0,1.0000,3.1623
6_0,1.0000,2.2361
7_0,1.0000,3.0000
8_0,1.0000,2.8284
9_0,1.0000,2.2361
10_0,1.0000,4.2426
11_0,1.0000,4.2426
12_0,1.0000,2.2361
13_0,1.0000,3.1623
14_0,1.0000,3.1623
15_0,1.0000,9.1104
16_0,1.0000,3.0000
17_0,0.0007,37.9803
18_0,1.0000,7.2801
19_0,1.0000,5.1962
20_0,1.0000,3.6056
21_0,1.0000,5.8310
22_0,1.0000,2.2361
23_0,1.0000,5.1962
24_0,1.0000,3.6056
25_0,1.0000,2.2361
26_0,1.0000,8.0000
27_0,1.0000,1.7321
28_0,1.0000,3.7417
29_0,1.0000,4.2426
30_0,1.0000,7.8102
31_0,1.0000,3.6056
32_0,1.0000,3.7417
33_0,1.0000,3.7417
34_0,1.0000,38.9487
35_0,1.0000,4.5826
36_0,1.0000,15.1327
37_0,1.0000,3.0000
38_0,1.0000,7.8740
39_0,1.0000,4.1231
40_0,1.0000,7.6811
41_0,1.0000,13.0000
42_0,1.0000,3.6056
43_0,1.0000,6.4031
44_0,1.0000,5.3852
45_0,1.0000,4.0000
46_0,1.0000,18.2920
47_0,1.0000,2.2361
48_0,0.9004,8.0000
49_0,1.0000,11.8635
50_0,1.0000,2.4495
51_0,1.0000,13.0384
Average,0.9789,6.6957
