Sample,Dice,HD95
0_0,1.0000,7.8740
1_0,1.0000,5.9161
2_0,1.0000,11.0454
3_0,1.0000,23.6854
4_0,0.6838,15.0000
5_0,1.0000,2.4495
6_0,1.0000,2.8284
7_0,1.0000,8.0623
8_0,1.0000,5.6569
9_0,0.9636,46.4693
10_0,1.0000,5.0990
11_0,1.0000,2.0000
12_0,1.0000,7.0000
13_0,1.0000,6.5574
14_0,1.0000,2.2361
15_0,1.0000,7.2111
16_0,1.0000,23.7908
17_0,1.0000,3.0000
18_0,0.6924,44.3734
19_0,1.0000,2.2361
20_0,1.0000,4.8990
21_0,1.0000,3.7417
22_0,1.0000,2.2361
23_0,1.0000,3.6056
24_0,1.0000,4.5826
25_0,1.0000,5.0990
26_0,1.0000,5.7446
27_0,1.0000,21.0950
28_0,0.8214,47.8539
29_0,1.0000,6.1644
30_0,1.0000,5.3852
31_0,1.0000,4.0000
32_0,1.0000,22.0000
33_0,1.0000,29.0172
34_0,1.0000,8.2462
35_0,1.0000,4.0000
36_0,1.0000,5.9161
37_0,1.0000,2.0000
38_0,1.0000,3.0000
39_0,1.0000,3.0000
40_0,1.0000,2.0000
41_0,1.0000,3.1623
42_0,1.0000,2.2361
43_0,1.0000,5.9161
44_0,1.0000,3.7417
45_0,1.0000,2.2361
46_0,1.0000,2.8284
47_0,1.0000,1.7321
48_0,1.0000,2.2361
49_0,0.6263,80.7032
50_0,1.0000,18.8680
51_0,1.0000,2.2361
52_0,1.0000,4.5826
53_0,1.0000,2.8284
54_0,1.0000,2.8284
55_0,1.0000,1.7321
56_0,1.0000,3.1623
57_0,1.0000,2.2361
58_0,1.0000,2.4495
59_0,1.0000,2.2361
60_0,1.0000,2.2361
61_0,1.0000,3.4641
62_0,1.0000,3.7417
63_0,1.0000,5.0990
64_0,1.0000,2.8284
65_0,1.0000,52.4404
66_0,1.0000,3.0000
Average,0.9819,9.6543
