Sample,Dice,HD95
0_0,0.7110,67.3000
1_0,0.8289,65.9166
2_0,1.0000,58.2924
3_0,0.7824,34.1072
4_0,0.1159,84.9353
5_0,0.6913,84.4831
6_0,0.8078,65.0323
7_0,0.2350,74.3303
8_0,0.3887,66.8483
9_0,0.4199,52.2781
10_0,0.3531,98.4733
11_0,0.7861,61.7519
12_0,0.6117,59.6741
13_0,0.5733,79.3221
14_0,0.7388,82.0564
15_0,0.5082,62.9365
16_0,0.8801,39.1024
17_0,1.0000,63.8201
18_0,0.6021,44.2216
19_0,0.9665,54.5527
20_0,0.7113,87.2124
21_0,0.4734,84.5281
22_0,1.0000,46.4866
23_0,0.6494,46.9042
24_0,0.5286,83.0301
25_0,0.7074,70.3704
26_0,1.0000,40.0500
27_0,0.8468,65.4545
28_0,0.6878,51.0294
29_0,1.0000,32.3110
30_0,0.8431,48.3011
31_0,0.9827,58.8133
32_0,0.7870,31.5595
33_0,0.7101,41.0609
34_0,1.0000,55.9593
35_0,0.2744,72.8629
36_0,0.3191,85.3833
37_0,0.8908,79.3476
38_0,0.7947,97.0103
39_0,0.3847,75.2596
40_0,0.5793,69.0652
41_0,0.5852,69.3470
42_0,0.9018,57.4630
43_0,0.4592,71.5751
44_0,0.5973,71.5444
45_0,0.7938,68.7386
46_0,1.0000,47.5374
47_0,0.5981,71.4563
48_0,0.7870,88.2440
49_0,0.5720,82.0061
50_0,0.5037,72.2845
51_0,1.0000,52.0961
52_0,1.0000,69.9214
53_0,0.6242,68.3813
54_0,1.0000,41.7373
55_0,0.8029,76.1643
56_0,0.6823,50.3786
57_0,1.0000,24.0832
58_0,1.0000,40.6079
59_0,1.0000,46.9148
60_0,0.8683,60.6218
61_0,0.9051,50.2374
62_0,0.8653,76.1446
63_0,0.9014,17.2337
64_0,1.0000,12.7671
65_0,0.8262,54.0833
66_0,1.0000,57.1577
Average,0.7380,61.4949
