Sample,Dice,HD95
0_0,0.7882,58.8931
1_0,0.4635,62.2656
2_0,1.0000,88.3295
3_0,1.0000,45.6859
4_0,0.9996,38.3927
5_0,1.0000,50.6828
6_0,1.0000,13.6136
7_0,1.0000,39.5297
8_0,1.0000,32.6166
9_0,0.9586,72.4824
10_0,1.0000,56.2379
11_0,1.0000,38.0657
12_0,1.0000,59.0085
13_0,1.0000,52.7778
14_0,1.0000,60.7536
15_0,1.0000,75.0590
16_0,1.0000,70.6682
17_0,0.8349,71.4213
18_0,0.3232,66.8954
19_0,1.0000,71.9861
20_0,1.0000,50.7346
21_0,1.0000,35.1852
22_0,0.4910,117.4553
23_0,0.9846,19.5192
24_0,1.0000,40.9023
25_0,1.0000,77.1745
26_0,0.8530,50.8035
27_0,1.0000,83.6391
28_0,1.0000,35.6805
29_0,1.0000,47.7766
30_0,0.8227,75.1066
31_0,1.0000,25.1794
32_0,1.0000,29.6715
33_0,1.0000,32.9636
34_0,1.0000,95.5895
35_0,0.9476,63.0555
36_0,0.9417,40.6688
37_0,1.0000,54.8799
38_0,0.8722,65.4905
39_0,1.0000,54.5316
40_0,1.0000,52.5395
41_0,1.0000,36.2629
42_0,1.0000,61.3148
43_0,1.0000,83.1438
44_0,1.0000,51.1918
45_0,1.0000,55.1262
46_0,1.0000,58.9474
47_0,0.9374,64.0078
48_0,0.2493,99.4082
49_0,1.0000,24.8596
50_0,1.0000,48.2794
51_0,1.0000,59.2706
Average,0.9321,56.0716
