Sample,Dice,HD95
0_0,1.0000,69.1737
1_0,1.0000,61.4248
2_0,0.7484,58.1893
3_0,1.0000,74.6652
4_0,0.8065,86.3765
5_0,1.0000,77.4119
6_0,1.0000,41.0451
7_0,0.9762,74.5091
8_0,1.0000,63.0397
9_0,0.8909,50.5767
10_0,1.0000,97.3268
11_0,1.0000,18.8414
12_0,1.0000,56.6480
13_0,1.0000,68.3593
14_0,1.0000,77.8075
15_0,1.0000,63.7828
16_0,1.0000,43.4183
17_0,1.0000,55.0091
18_0,1.0000,40.4228
19_0,1.0000,47.2985
20_0,1.0000,77.7046
21_0,1.0000,79.5047
22_0,1.0000,32.8329
23_0,1.0000,34.9428
24_0,1.0000,73.5799
25_0,1.0000,67.1744
26_0,1.0000,17.7384
27_0,1.0000,42.8211
28_0,0.9244,49.0510
29_0,1.0000,42.0749
30_0,1.0000,48.2183
31_0,1.0000,59.5147
32_0,1.0000,24.5153
33_0,1.0000,35.9305
34_0,1.0000,6.7082
35_0,1.0000,69.0145
36_0,1.0000,85.0941
37_0,1.0000,90.3867
38_0,1.0000,85.2147
39_0,1.0000,75.9605
40_0,1.0000,65.7115
41_0,1.0000,82.5893
42_0,1.0000,47.6760
43_0,1.0000,67.9264
44_0,1.0000,64.6452
45_0,1.0000,67.2859
46_0,1.0000,55.1181
47_0,1.0000,69.0362
48_0,1.0000,85.9756
49_0,0.7851,79.8292
50_0,1.0000,77.3114
51_0,0.9623,12.5300
52_0,1.0000,21.0000
53_0,1.0000,68.1616
54_0,1.0000,42.0000
55_0,1.0000,71.2320
56_0,1.0000,54.4610
57_0,1.0000,13.1529
58_0,1.0000,28.1780
59_0,1.0000,34.8855
60_0,1.0000,66.3400
61_0,1.0000,65.8365
62_0,1.0000,75.9394
63_0,1.0000,6.4807
64_0,1.0000,5.3852
65_0,1.0000,55.1149
66_0,1.0000,45.1348
Average,0.9865,56.0037
