Sample,Dice,HD95
0_0,1.0000,67.8281
1_0,1.0000,69.6922
2_0,1.0000,10.7238
3_0,1.0000,30.6211
4_0,0.6113,87.7622
5_0,1.0000,62.0601
6_0,1.0000,7.0000
7_0,0.5118,69.8427
8_0,0.6420,64.6065
9_0,0.5027,55.3986
10_0,0.7161,100.9138
11_0,1.0000,6.4031
12_0,1.0000,40.7185
13_0,0.8743,75.8090
14_0,1.0000,75.6657
15_0,1.0000,65.4400
16_0,1.0000,36.0000
17_0,1.0000,6.4031
18_0,0.6861,45.1863
19_0,1.0000,8.1240
20_0,1.0000,54.2125
21_0,0.9665,84.8083
22_0,1.0000,7.0711
23_0,1.0000,29.0379
24_0,1.0000,31.6860
25_0,1.0000,75.3326
26_0,1.0000,7.8740
27_0,1.0000,41.6293
28_0,0.8435,50.6246
29_0,1.0000,5.0990
30_0,1.0000,13.6382
31_0,1.0000,57.5239
32_0,1.0000,27.5862
33_0,1.0000,40.0250
34_0,1.0000,11.0000
35_0,0.7978,71.9792
36_0,0.6244,88.4062
37_0,1.0000,6.3246
38_0,1.0000,8.2462
39_0,0.7964,76.0263
40_0,1.0000,73.2704
41_0,0.9968,63.0635
42_0,1.0000,9.9499
43_0,0.8906,74.1397
44_0,1.0000,64.4841
45_0,1.0000,9.0000
46_0,1.0000,9.8489
47_0,0.9728,72.6288
48_0,1.0000,89.5517
49_0,0.5954,85.7263
50_0,0.8913,77.5177
51_0,1.0000,5.6119
52_0,1.0000,7.8740
53_0,1.0000,72.2980
54_0,1.0000,12.8062
55_0,1.0000,7.0711
56_0,1.0000,47.9291
57_0,1.0000,8.7178
58_0,1.0000,9.2736
59_0,1.0000,6.4031
60_0,1.0000,7.6158
61_0,1.0000,9.8489
62_0,1.0000,67.1178
63_0,1.0000,10.0499
64_0,1.0000,8.7750
65_0,1.0000,55.5518
66_0,1.0000,9.8995
Average,0.9391,41.0501
