Sample,Dice,HD95
0_0,1.0000,2.2361
1_0,1.0000,2.2361
2_0,1.0000,10.2470
3_0,1.0000,4.1231
4_0,1.0000,11.8596
5_0,1.0000,2.4495
6_0,1.0000,6.0372
7_0,0.9697,57.6455
8_0,1.0000,3.0000
9_0,1.0000,5.0000
10_0,1.0000,4.1231
11_0,1.0000,3.0000
12_0,1.0000,10.4881
13_0,1.0000,7.3485
14_0,1.0000,2.2361
15_0,1.0000,10.5876
16_0,1.0000,15.5563
17_0,1.0000,16.3095
18_0,1.0000,2.8284
19_0,1.0000,4.3589
20_0,1.0000,2.0000
21_0,1.0000,3.1623
22_0,1.0000,7.0000
23_0,1.0000,11.9707
24_0,0.0000,nan
25_0,0.7059,26.0192
26_0,1.0000,7.8581
27_0,1.0000,6.9282
28_0,0.0000,nan
29_0,1.0000,3.4641
30_0,1.0000,4.4721
31_0,1.0000,9.2736
32_0,1.0000,59.1354
33_0,1.0000,6.4031
34_0,1.0000,13.1529
35_0,1.0000,16.8819
36_0,0.6856,37.1753
37_0,1.0000,2.4495
38_0,1.0000,5.0000
Average,0.9323,nan
