Sample,Dice,HD95
0_0,1.0000,31.2154
1_0,1.0000,66.6708
2_0,1.0000,15.5885
3_0,1.0000,35.9305
4_0,1.0000,8.0000
5_0,1.0000,3.0000
6_0,1.0000,3.1623
7_0,1.0000,48.8733
8_0,1.0000,44.4151
9_0,0.4727,54.3277
10_0,1.0000,99.8614
11_0,1.0000,2.2361
12_0,1.0000,33.0401
13_0,1.0000,66.6963
14_0,1.0000,73.4711
15_0,1.0000,13.0000
16_0,1.0000,29.1548
17_0,1.0000,2.4495
18_0,0.8365,48.5551
19_0,1.0000,4.1231
20_0,1.0000,5.0990
21_0,1.0000,39.4506
22_0,1.0000,2.2361
23_0,1.0000,4.5826
24_0,1.0000,4.4721
25_0,1.0000,72.3533
26_0,1.0000,5.4772
27_0,1.0000,20.6398
28_0,0.7980,50.7647
29_0,1.0000,7.2801
30_0,1.0000,32.3419
31_0,1.0000,4.5826
32_0,1.0000,27.7660
33_0,1.0000,42.6732
34_0,1.0000,8.3666
35_0,1.0000,7.0000
36_0,1.0000,5.9161
37_0,1.0000,2.2361
38_0,1.0000,3.3166
39_0,1.0000,6.4031
40_0,1.0000,2.4495
41_0,1.0000,6.1644
42_0,1.0000,2.4495
43_0,1.0000,71.2601
44_0,1.0000,7.0711
45_0,1.0000,3.7417
46_0,1.0000,2.4495
47_0,1.0000,53.0292
48_0,1.0000,91.5205
49_0,0.6128,82.5167
50_0,1.0000,75.7717
51_0,1.0000,3.1623
52_0,1.0000,4.4721
53_0,1.0000,4.0000
54_0,1.0000,2.8284
55_0,1.0000,2.0000
56_0,1.0000,3.7417
57_0,1.0000,3.0000
58_0,1.0000,6.4031
59_0,1.0000,3.0000
60_0,1.0000,3.0000
61_0,1.0000,5.0000
62_0,1.0000,3.6056
63_0,1.0000,4.1231
64_0,1.0000,2.2361
65_0,1.0000,54.9181
66_0,1.0000,2.8284
Average,0.9809,23.0369
