Sample,Dice,HD95
0_0,1.0000,62.4428
1_0,1.0000,62.3137
2_0,0.9139,10.9545
3_0,1.0000,28.0784
4_0,0.0207,94.8314
5_0,1.0000,78.0586
6_0,1.0000,5.8310
7_0,0.8862,66.4906
8_0,0.9966,60.5805
9_0,1.0000,47.8121
10_0,1.0000,99.1060
11_0,1.0000,5.0990
12_0,1.0000,40.5259
13_0,1.0000,72.4048
14_0,1.0000,78.4156
15_0,1.0000,54.5985
16_0,1.0000,35.0143
17_0,1.0000,51.6333
18_0,1.0000,37.5846
19_0,1.0000,36.3710
20_0,1.0000,73.5697
21_0,1.0000,86.6891
22_0,1.0000,6.4031
23_0,1.0000,24.3516
24_0,1.0000,79.3631
25_0,1.0000,70.0357
26_0,1.0000,9.2736
27_0,1.0000,13.7477
28_0,1.0000,45.1885
29_0,1.0000,8.7178
30_0,1.0000,12.7240
31_0,1.0000,19.8746
32_0,1.0000,25.0400
33_0,1.0000,20.3026
34_0,0.8768,5.6569
35_0,1.0000,55.0421
36_0,0.9382,85.7788
37_0,1.0000,4.1231
38_0,1.0000,35.2867
39_0,1.0000,67.9503
40_0,1.0000,6.4031
41_0,1.0000,7.8740
42_0,1.0000,42.0773
43_0,1.0000,68.3041
44_0,1.0000,64.7846
45_0,1.0000,65.8058
46_0,1.0000,8.4853
47_0,1.0000,8.8648
48_0,1.0000,92.2678
49_0,1.0000,65.4328
50_0,1.0000,44.7068
51_0,1.0000,5.7446
52_0,0.7612,10.2470
53_0,1.0000,71.9097
54_0,1.0000,10.4881
55_0,1.0000,6.4807
56_0,1.0000,31.1288
57_0,1.0000,6.4031
58_0,1.0000,11.5326
59_0,1.0000,12.4097
60_0,1.0000,7.0711
61_0,1.0000,9.0000
62_0,1.0000,9.2736
63_0,1.0000,8.6023
64_0,1.0000,7.0711
65_0,1.0000,54.3875
66_0,1.0000,9.0000
Average,0.9760,37.6570
