Sample,Dice,HD95
0_0,1.0000,59.4306
1_0,1.0000,61.7171
2_0,1.0000,21.6622
3_0,1.0000,31.0644
4_0,0.2032,90.8240
5_0,0.7940,90.8339
6_0,1.0000,76.2758
7_0,0.5534,69.2892
8_0,0.6009,60.2495
9_0,0.8621,49.7594
10_0,0.6758,97.9234
11_0,1.0000,63.1348
12_0,0.7597,59.4475
13_0,0.7422,76.4003
14_0,0.9778,80.4674
15_0,1.0000,64.0156
16_0,0.9125,40.4475
17_0,0.8731,64.0703
18_0,1.0000,38.1707
19_0,0.8839,57.3253
20_0,1.0000,85.9232
21_0,0.9795,85.2408
22_0,1.0000,46.4973
23_0,1.0000,44.8330
24_0,0.9691,80.9259
25_0,1.0000,68.6731
26_0,1.0000,17.3781
27_0,0.9269,60.5723
28_0,0.9285,45.5412
29_0,1.0000,31.7962
30_0,1.0000,47.1885
31_0,1.0000,50.7050
32_0,1.0000,25.0000
33_0,1.0000,30.2324
34_0,0.7892,57.8446
35_0,0.7171,69.7227
36_0,0.6543,83.1505
37_0,1.0000,77.0831
38_0,1.0000,79.9375
39_0,0.8374,72.8903
40_0,1.0000,66.4379
41_0,1.0000,69.1231
42_0,1.0000,57.8338
43_0,0.9883,68.8840
44_0,0.9949,67.1565
45_0,1.0000,66.7832
46_0,1.0000,47.7399
47_0,1.0000,63.8827
48_0,1.0000,71.0306
49_0,0.8694,75.2396
50_0,1.0000,51.6236
51_0,0.9745,48.9183
52_0,0.7783,71.3151
53_0,1.0000,67.7864
54_0,1.0000,23.4307
55_0,1.0000,70.1484
56_0,1.0000,48.1041
57_0,1.0000,31.6386
58_0,0.8852,42.3556
59_0,0.9161,48.7237
60_0,1.0000,57.3907
61_0,1.0000,47.8435
62_0,1.0000,65.4194
63_0,1.0000,9.2736
64_0,1.0000,13.0000
65_0,1.0000,51.4781
66_0,1.0000,49.9300
Average,0.9261,57.7035
