round,dice_wt,time_sec,loss
0,0.1107,26.54,0.8893
1,0.3139,23.17,0.6861
2,0.3157,23.26,0.6843
3,0.3371,23.51,0.6629
4,0.3173,23.01,0.6827
5,0.3108,23.26,0.6892
6,0.2165,23.1,0.7835
7,0.1753,23.72,0.8247
8,0.3235,23.76,0.6765
9,0.2987,23.02,0.7013
10,0.1941,23.38,0.8059
11,0.363,23.46,0.637
12,0.4742,23.26,0.5258
13,0.5913,23.06,0.4087
14,0.8093,23.47,0.1907
15,0.9596,23.35,0.0404
16,0.9799,23.25,0.0201
17,0.979,22.97,0.021
18,0.9832,23.25,0.0168
19,0.9826,22.8,0.0174
20,0.9834,23.03,0.0166
21,0.9839,22.8,0.0161
22,0.9871,23.05,0.0129
23,0.9855,23.23,0.0145
24,0.9979,22.99,0.0021
25,0.9974,24.32,0.0026
