Round,Train Loss,Dice WT
-1,0.960766580269525,0.321
-1,0.9466785824612567,0.2744
-1,0.8956603476091436,0.3611
-1,0.7344474095655115,0.8323
-1,0.4323342174683747,0.9481
-1,0.23010008374327104,0.9255
-1,0.15467710918501804,0.9027
-1,0.12333540775273977,0.9088
-1,0.11072190905872144,0.9175
-1,0.10392606995607676,0.9426
-1,0.10036230240213244,0.9503
-1,0.09869498418349969,0.9349
-1,0.09225647504392423,0.9114
-1,0.09661593672476317,0.9394
-1,0.09048496951398097,0.9098
-1,0.08818850748633082,0.8937
-1,0.08665189409726545,0.9315
-1,0.0848068724337377,0.9128
-1,0.08927236548379847,0.9207
-1,0.08097579553723336,0.9189
-1,0.0826569096430352,0.9194
-1,0.08026437084925803,0.9145
-1,0.08139052379288172,0.909
-1,0.07845864182240085,0.9377
-1,0.07529862240741127,0.9417
