batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,163321,157749,144724,176346,1.0
2,0,173362,162397,156810,178949,1.0
3,0,171195,169918,146852,194261,1.0
4,0,219355,200621,193111,226865,1.0
5,0,17117,12470,12101,17486,1.0
6,0,41546,42636,39431,44751,1.0
7,0,47689,46230,44492,49427,1.0
8,0,58348,51782,51262,58868,1.0
9,0,83941,59342,58904,84379,1.0
10,0,280090,77740,76193,281637,0.5411
11,0,85630,78549,77048,87131,1.0
12,0,76492,78584,73789,81287,1.0
13,0,85472,79080,74781,89771,1.0
14,0,98324,83463,83087,98700,1.0
15,0,92306,84845,83581,93570,1.0
16,0,90613,85112,83847,91878,1.0
17,0,96818,95788,83326,109280,1.0
18,0,103391,98011,93075,108327,1.0
19,0,273810,98512,98460,273862,0.719
20,0,106022,98996,97087,107931,1.0
21,0,131306,105016,104757,131565,1.0
22,0,117489,107675,106656,118508,1.0
23,0,121269,107935,106677,122527,1.0
24,0,122253,111614,110891,122976,1.0
25,0,127089,111967,111793,127263,1.0
26,0,123771,120374,115414,128731,1.0
27,0,161475,138460,135745,164190,1.0
28,0,159652,147383,138322,168713,1.0
29,0,513105,147861,146060,514906,0.5673
30,0,160311,150203,134233,176281,1.0
31,0,164048,157326,149058,172316,1.0
32,0,165323,158379,154832,168870,1.0
33,0,258812,173764,173316,259260,1.0
34,0,274921,224832,221822,277931,1.0
35,0,26164,20466,19674,26956,1.0
36,0,35969,34197,33624,36542,1.0
37,0,44623,44986,41317,48292,1.0
38,0,49592,46623,46223,49992,1.0
39,0,51972,51390,49004,54358,1.0
40,0,61029,58948,58369,61608,1.0
41,0,73155,71632,70209,74578,1.0
42,0,76673,72110,71498,77285,1.0
43,0,82081,74298,73387,82992,1.0
44,0,79744,79454,76462,82736,1.0
45,0,78990,83563,75386,87167,1.0
46,0,94448,87678,86211,95915,1.0
47,0,99955,89503,89272,100186,1.0
48,0,93171,91161,90491,93841,1.0
49,0,102931,98447,96452,104926,1.0
50,0,440167,104055,100551,443671,0.4533
51,0,132977,113630,112559,134048,1.0
52,0,116311,118171,112482,122000,1.0
53,0,159024,125934,121677,163281,1.0
54,0,133282,130763,127047,136998,1.0
55,0,150132,140799,138634,152297,1.0
56,0,144058,146440,140437,150061,1.0
57,0,170281,153071,152170,171182,1.0
58,0,175162,157089,156464,175787,1.0
59,0,176116,157414,155145,178385,1.0
60,0,174443,161243,160070,175616,1.0
61,0,171005,168343,164590,174758,1.0
62,0,174012,173462,167824,179650,1.0
63,0,197488,186129,183055,200562,1.0
64,0,208830,192199,191268,209761,1.0
65,0,215427,216245,208287,223385,1.0
66,0,266692,220576,219770,267498,1.0
67,0,244282,237250,230703,250829,1.0
