round,dice_wt,time_sec,loss
0,0.1107,26.01,0.8893
1,0.3506,23.21,0.6494
2,0.2528,23.3,0.7472
3,0.4011,22.93,0.5989
4,0.8951,23.01,0.1049
5,0.9828,22.72,0.0172
6,0.9778,22.77,0.0222
7,0.9874,23.11,0.0126
8,0.9751,23.0,0.0249
9,0.9837,22.8,0.0163
10,0.9842,22.69,0.0158
11,0.9909,22.71,0.0091
12,0.98,22.13,0.02
13,0.9835,22.82,0.0165
14,0.9855,22.76,0.0145
15,0.9758,22.46,0.0242
16,0.9753,22.72,0.0247
17,0.9783,22.63,0.0217
18,0.9824,22.64,0.0176
19,0.9743,22.93,0.0257
20,0.9749,22.84,0.0251
21,0.98,22.71,0.02
22,0.9771,22.93,0.0229
23,0.9887,22.73,0.0113
24,0.9782,22.53,0.0218
25,0.9822,22.89,0.0178
