batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,1297400,157749,157749,1297400,0.2432
2,0,1363672,162397,162397,1363672,0.2382
3,0,780319,169918,169678,780559,0.4348
4,0,1630914,200621,200621,1630914,0.246
5,0,4621,12470,4160,12931,0.6434
6,0,571989,42636,42636,571989,0.1491
7,0,664643,46230,46230,664643,0.1391
8,0,677515,51782,51782,677515,0.1529
9,0,826176,59342,59342,826176,0.1437
10,0,1398467,77740,77740,1398467,0.1112
11,0,946025,78549,78549,946025,0.1661
12,0,804146,78584,78527,804203,0.1953
13,0,695788,79080,79080,695788,0.2273
14,0,1079540,83463,83463,1079540,0.1546
15,0,775795,84845,84844,775796,0.2187
16,0,955173,85112,85112,955173,0.1782
17,0,552332,95788,90431,557689,0.3243
18,0,740245,98011,98011,740245,0.2648
19,0,1515297,98512,98512,1515297,0.13
20,0,685786,98996,98993,685789,0.2887
21,0,893364,105016,105016,893364,0.2351
22,0,1161609,107675,107675,1161609,0.1854
23,0,678842,107935,107935,678842,0.318
24,0,1012388,111614,111614,1012388,0.2205
25,0,911997,111967,111967,911997,0.2455
26,0,1352414,120374,120374,1352414,0.178
27,0,957697,138460,138460,957697,0.2892
28,0,872968,147383,147345,873006,0.3376
29,0,1438503,147861,147861,1438503,0.2056
30,0,850184,150203,150186,850201,0.3533
31,0,1269498,157326,157326,1269498,0.2479
32,0,1159189,158379,158379,1159189,0.2733
33,0,1619880,173764,173764,1619880,0.2145
34,0,2071974,224832,224832,2071974,0.217
35,0,221240,20466,20466,221240,0.185
36,0,752288,34197,34197,752288,0.0909
37,0,824700,44986,44986,824700,0.1091
38,0,569956,46623,46623,569956,0.1636
39,0,665195,51390,51390,665195,0.1545
40,0,1011021,58948,58948,1011021,0.1166
41,0,983210,71632,71632,983210,0.1457
42,0,902804,72110,72110,902804,0.1597
43,0,673105,74298,74298,673105,0.2208
44,0,1035904,79454,79454,1035904,0.1534
45,0,888033,83563,83563,888033,0.1882
46,0,948431,87678,87678,948431,0.1849
47,0,797110,89503,89503,797110,0.2246
48,0,1050208,91161,91161,1050208,0.1736
49,0,907894,98447,98447,907894,0.2169
50,0,1693204,104055,104055,1693204,0.1229
51,0,1248068,113630,113630,1248068,0.1821
52,0,439297,118171,118171,439297,0.538
53,0,819923,125934,125934,819923,0.3072
54,0,1278156,130763,130763,1278156,0.2046
55,0,1028484,140799,140799,1028484,0.2738
56,0,1385481,146440,146440,1385481,0.2114
57,0,1365331,153071,153071,1365331,0.2242
58,0,900979,157089,157089,900979,0.3487
59,0,809404,157414,157414,809404,0.389
60,0,762142,161243,161243,762142,0.4231
61,0,1475790,168343,168343,1475790,0.2281
62,0,1350631,173462,173462,1350631,0.2569
63,0,1337118,186129,186129,1337118,0.2784
64,0,1362289,192199,192199,1362289,0.2822
65,0,1221891,216245,216245,1221891,0.354
66,0,1693889,220576,220576,1693889,0.2604
67,0,1516408,237250,237250,1516408,0.3129
