round,dice_wt,time_sec,loss
0,0.1107,21.74,0.8893
1,0.2821,18.25,0.7179
2,0.8379,18.06,0.1621
3,0.9745,18.03,0.0255
4,0.9461,17.92,0.0539
5,0.9742,18.05,0.0258
6,0.9553,17.97,0.0447
7,0.9255,18.32,0.0745
8,0.8235,18.24,0.1765
9,0.6774,17.94,0.3226
10,0.7185,18.37,0.2815
11,0.7433,18.58,0.2567
12,0.7109,17.99,0.2891
13,0.6609,18.08,0.3391
14,0.6291,18.04,0.3709
15,0.7736,18.07,0.2264
16,0.7987,18.19,0.2013
17,0.8137,18.11,0.1863
18,0.7438,17.99,0.2562
19,0.8518,17.99,0.1482
20,0.7995,17.92,0.2005
21,0.8545,17.65,0.1455
22,0.8962,17.95,0.1038
23,0.8772,18.0,0.1228
24,0.8735,17.95,0.1265
25,0.9147,18.97,0.0853
