round,dice_wt,time_sec,loss
0,0.1107,22.8,0.8893
1,0.1301,18.25,0.8699
2,0.2895,18.53,0.7105
3,0.3484,18.12,0.6516
4,0.4389,18.41,0.5611
5,0.5735,18.1,0.4265
6,0.5903,19.16,0.4097
7,0.6519,18.1,0.3481
8,0.7137,17.82,0.2863
9,0.7697,17.95,0.2303
10,0.8149,18.12,0.1851
11,0.8202,17.93,0.1798
12,0.8256,17.96,0.1744
13,0.8702,17.99,0.1298
14,0.867,17.9,0.133
15,0.8769,18.07,0.1231
16,0.8788,17.91,0.1212
17,0.8682,18.07,0.1318
18,0.9011,17.87,0.0989
19,0.8866,17.99,0.1134
20,0.8875,18.05,0.1125
21,0.8016,18.04,0.1984
22,0.9052,17.91,0.0948
23,0.8954,18.09,0.1046
24,0.9157,18.15,0.0843
25,0.9143,18.87,0.0857
