batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,8174,157749,8152,157771,0.1033
2,0,5961,162397,5950,162408,0.0733
3,0,2738,169918,2697,169959,0.0317
4,0,37563,200621,36693,201491,0.3642
5,0,25,12470,10,12485,0.0016
6,0,4708,42636,4304,43040,0.2
7,0,2883,46230,2881,46232,0.1246
8,0,3658,51782,3429,52011,0.1319
9,0,655,59342,539,59458,0.0181
10,0,1490,77740,1003,78227,0.0256
11,0,5231,78549,2125,81655,0.052
12,0,5241,78584,5208,78617,0.1325
13,0,3890,79080,3762,79208,0.095
14,0,1326,83463,376,84413,0.0089
15,0,2663,84845,2093,85415,0.049
16,0,4544,85112,4417,85239,0.1036
17,0,683,95788,470,96001,0.0098
18,0,2259,98011,1174,99096,0.0237
19,0,4335,98512,3119,99728,0.0626
20,0,1647,98996,1325,99318,0.0267
21,0,2855,105016,2622,105249,0.0498
22,0,7505,107675,6789,108391,0.1253
23,0,1205,107935,928,108212,0.0172
24,0,1413,111614,1392,111635,0.0249
25,0,2310,111967,1829,112448,0.0325
26,0,20749,120374,20514,120609,0.3402
27,0,1617,138460,1565,138512,0.0226
28,0,2184,147383,2086,147481,0.0283
29,0,1536,147861,1526,147871,0.0206
30,0,6457,150203,6341,150319,0.0844
31,0,9143,157326,8846,157623,0.1122
32,0,18569,158379,18424,158524,0.2324
33,0,4937,173764,4455,174246,0.0511
34,0,6058,224832,5577,225313,0.0495
35,0,2536,20466,589,22413,0.0526
36,0,12457,34197,12327,34327,0.7182
37,0,19873,44986,19501,45358,0.8599
38,0,1521,46623,1493,46651,0.064
39,0,3559,51390,3513,51436,0.1366
40,0,23104,58948,23029,59023,0.7803
41,0,14278,71632,14265,71645,0.3982
42,0,11620,72110,11615,72115,0.3221
43,0,693,74298,505,74486,0.0136
44,0,5315,79454,5165,79604,0.1298
45,0,14103,83563,14028,83638,0.3354
46,0,4204,87678,4142,87740,0.0944
47,0,2567,89503,2565,89505,0.0573
48,0,2678,91161,2551,91288,0.0559
49,0,5596,98447,4853,99190,0.0979
50,0,2602,104055,2539,104118,0.0488
51,0,20070,113630,19935,113765,0.3505
52,0,254,118171,232,118193,0.0039
53,0,391,125934,230,126095,0.0036
54,0,21244,130763,21145,130862,0.3232
55,0,794,140799,777,140816,0.011
56,0,23251,146440,23166,146525,0.3162
57,0,5364,153071,5319,153116,0.0695
58,0,218,157089,183,157124,0.0023
59,0,1461,157414,1454,157421,0.0185
60,0,429,161243,369,161303,0.0046
61,0,17547,168343,17492,168398,0.2077
62,0,20174,173462,20108,173528,0.2318
63,0,4710,186129,4702,186137,0.0505
64,0,14202,192199,14177,192224,0.1475
65,0,2540,216245,2531,216254,0.0234
66,0,10740,220576,9801,221515,0.0885
67,0,2697,237250,2669,237278,0.0225
