batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,132306,157749,126376,163679,1.0
2,0,150086,162397,138075,174408,1.0
3,0,37762,169918,37390,170290,0.4391
4,0,222836,200621,187484,235973,1.0
5,0,0,12470,0,12470,0.0
6,0,23789,42636,22395,44030,1.0
7,0,32987,46230,31151,48066,1.0
8,0,40430,51782,36773,55439,1.0
9,0,21560,59342,20958,59944,0.6993
10,0,49182,77740,43833,83089,1.0
11,0,69411,78549,57977,89983,1.0
12,0,59704,78584,56915,81373,1.0
13,0,38690,79080,35046,82724,0.8473
14,0,37018,83463,32191,88290,0.7292
15,0,42022,84845,39698,87169,0.9108
16,0,78877,85112,74764,89225,1.0
17,0,34011,95788,32071,97728,0.6563
18,0,26925,98011,25867,99069,0.5222
19,0,120833,98512,87907,131438,1.0
20,0,39831,98996,37231,101596,0.7329
21,0,47732,105016,45523,107225,0.8491
22,0,96387,107675,85443,118619,1.0
23,0,31238,107935,30198,108975,0.5542
24,0,82973,111614,76728,117859,1.0
25,0,65478,111967,64343,113102,1.0
26,0,131125,120374,108549,142950,1.0
27,0,43729,138460,41295,140894,0.5862
28,0,33685,147383,32401,148667,0.4359
29,0,58069,147861,55562,150368,0.739
30,0,57429,150203,57167,150465,0.7599
31,0,146982,157326,126166,178142,1.0
32,0,136756,158379,117013,178122,1.0
33,0,139007,173764,120487,192284,1.0
34,0,185868,224832,168387,242313,1.0
35,0,9196,20466,4491,25171,0.3568
36,0,41567,34197,32574,43190,1.0
37,0,55624,44986,41415,59195,1.0
38,0,27104,46623,27100,46627,1.0
39,0,37623,51390,34578,54435,1.0
40,0,79044,58948,58542,79450,1.0
41,0,76451,71632,67164,80919,1.0
42,0,79141,72110,66559,84692,1.0
43,0,41716,74298,39839,76175,1.0
44,0,78094,79454,69045,88503,1.0
45,0,71215,83563,65733,89045,1.0
46,0,70701,87678,64346,94033,1.0
47,0,52873,89503,48930,93446,1.0
48,0,82082,91161,77529,95714,1.0
49,0,74576,98447,66903,106120,1.0
50,0,45192,104055,42745,106502,0.8027
51,0,140500,113630,111593,142537,1.0
52,0,33134,118171,33069,118236,0.5594
53,0,4681,125934,4622,125993,0.0734
54,0,126713,130763,110354,147122,1.0
55,0,82838,140799,78459,145178,1.0
56,0,144870,146440,127923,163387,1.0
57,0,142999,153071,128427,167643,1.0
58,0,63606,157089,62314,158381,0.7869
59,0,41382,157414,39877,158919,0.5019
60,0,25420,161243,25287,161376,0.3134
61,0,172586,168343,147976,192953,1.0
62,0,157554,173462,132465,198551,1.0
63,0,174572,186129,155555,205146,1.0
64,0,187965,192199,166234,213930,1.0
65,0,135333,216245,128676,222902,1.0
66,0,230404,220576,201537,249443,1.0
67,0,178994,237250,160257,255987,1.0
