Experiment,Final Mean Dice,Final ± Std Dev
FedAvg NonIID,0.9811,0.9811 ± 0.0009
FedWSOComp C32 S20 NonIID,0.6880,0.6880 ± 0.0313
FedWSOComp C64 S20 NonIID,0.6857,0.6857 ± 0.0195
FedWSOComp C3 S20 NonIID,0.4748,0.4748 ± 0.0489
FedWSOComp C32 S60 NonIID,0.9693,0.9693 ± 0.0023
FedAvg IID,0.9963,0.9963 ± 0.0023
FedWSOComp C64 S20 IID,0.7975,0.7975 ± 0.0039
FedWSOComp C3 S60 NonIID,0.3152,0.3152 ± 0.0945
FedWSOComp C3 S30 NonIID,0.5672,0.5672 ± 0.2168
FedWSOComp C64 S60 NonIID,0.9732,0.9732 ± 0.0029
FedWSOComp C64 S60 IID,0.9583,0.9583 ± 0.0159
FedWSOComp C64 S30 NonIID,0.9149,0.9149 ± 0.0142
FedWSOComp C3 S30 IID,0.9189,0.9189 ± 0.0044
FedWSOComp C32 S30 IID,0.9348,0.9348 ± 0.0064
FedWSOComp C32 S20 IID,0.8186,0.8186 ± 0.0164
FedWSOComp C32 S30 NonIID,0.8843,0.8843 ± 0.0204
FedWSOComp C32 S60 IID,0.9648,0.9648 ± 0.0121
FedWSOComp C64 S30 IID,0.9223,0.9223 ± 0.0023
FedWSOComp C3 S60 IID,0.3854,0.3854 ± 0.1158
FedWSOComp C3 S20 IID,0.6736,0.6736 ± 0.0369
