Experiment,Dice Score (mean ± std),Runs
FedAvg_NonIID,0.9811 ± 0.0009,3
FedWSOComp_C32_S20_NonIID,0.6880 ± 0.0313,3
FedWSOComp_C64_S20_NonIID,0.6857 ± 0.0195,3
FedWSOComp_C3_S20_NonIID,0.4748 ± 0.0489,3
FedWSOComp_C32_S60_NonIID,0.9693 ± 0.0023,3
FedAvg_IID,0.9963 ± 0.0023,3
FedWSOComp_C64_S20_IID,0.7975 ± 0.0039,3
FedWSOComp_C3_S60_NonIID,0.3152 ± 0.0945,3
FedWSOComp_C3_S30_NonIID,0.5672 ± 0.2168,3
FedWSOComp_C64_S60_NonIID,0.9732 ± 0.0029,3
FedWSOComp_C64_S60_IID,0.9583 ± 0.0159,3
FedWSOComp_C64_S30_NonIID,0.9149 ± 0.0142,3
FedWSOComp_C3_S30_IID,0.9189 ± 0.0044,3
FedWSOComp_C32_S30_IID,0.9348 ± 0.0064,3
FedWSOComp_C32_S20_IID,0.8186 ± 0.0164,3
FedWSOComp_C32_S30_NonIID,0.8843 ± 0.0204,3
FedWSOComp_C32_S60_IID,0.9648 ± 0.0121,3
FedWSOComp_C64_S30_IID,0.9223 ± 0.0023,3
FedWSOComp_C3_S60_IID,0.3854 ± 0.1158,3
FedWSOComp_C3_S20_IID,0.6736 ± 0.0369,3
