round,dice_wt,time_sec,loss
0,0.1107,28.11,0.8893
1,0.3227,25.25,0.6773
2,0.3221,23.5,0.6779
3,0.3675,23.34,0.6325
4,0.3395,23.5,0.6605
5,0.2112,23.26,0.7888
6,0.2127,23.27,0.7873
7,0.1647,23.55,0.8353
8,0.2143,23.33,0.7857
9,0.2123,23.22,0.7877
10,0.5338,23.66,0.4662
11,0.4239,23.01,0.5761
12,0.4177,23.09,0.5823
13,0.7856,23.12,0.2144
14,0.7484,23.0,0.2516
15,0.9026,23.51,0.0974
16,0.9817,23.49,0.0183
17,0.9829,23.4,0.0171
18,0.9818,23.23,0.0182
19,0.9825,23.62,0.0175
20,0.9839,23.3,0.0161
21,0.983,23.26,0.017
22,0.9844,23.3,0.0156
23,0.9835,23.08,0.0165
24,0.9933,23.32,0.0067
25,0.9931,23.27,0.0069
