round,dice_wt,time_sec,loss
0,0.1107,26.49,0.8893
1,0.3139,23.12,0.6861
2,0.3148,23.31,0.6852
3,0.3448,23.45,0.6552
4,0.2959,23.72,0.7041
5,0.2135,23.88,0.7865
6,0.1761,23.41,0.8239
7,0.3153,23.28,0.6847
8,0.2232,23.29,0.7768
9,0.3266,23.43,0.6734
10,0.2367,23.23,0.7633
11,0.3307,23.2,0.6693
12,0.4223,23.35,0.5777
13,0.74,23.26,0.26
14,0.7724,23.43,0.2276
15,0.9014,23.32,0.0986
16,0.9812,23.32,0.0188
17,0.9811,23.62,0.0189
18,0.9833,23.37,0.0167
19,0.9816,23.05,0.0184
20,0.9866,23.12,0.0134
21,0.9865,23.13,0.0135
22,0.9871,23.35,0.0129
23,0.9857,23.19,0.0143
24,0.9979,23.35,0.0021
25,0.9985,23.72,0.0015
