round,dice_wt,time_sec,loss
0,0.1107,28.04,0.8893
1,0.358,23.81,0.642
2,0.3348,24.18,0.6652
3,0.4056,23.61,0.5944
4,0.8916,23.51,0.1084
5,0.9738,23.57,0.0262
6,0.9731,23.5,0.0269
7,0.9863,23.64,0.0137
8,0.9818,23.47,0.0182
9,0.9812,23.61,0.0188
10,0.9821,23.47,0.0179
11,0.9907,23.38,0.0093
12,0.985,23.02,0.015
13,0.9792,23.1,0.0208
14,0.9843,23.37,0.0157
15,0.9784,23.07,0.0216
16,0.9702,23.32,0.0298
17,0.9778,23.33,0.0222
18,0.975,23.46,0.025
19,0.9783,23.15,0.0217
20,0.973,23.32,0.027
21,0.9866,23.57,0.0134
22,0.9792,23.06,0.0208
23,0.9864,23.18,0.0136
24,0.9764,23.79,0.0236
25,0.9799,23.41,0.0201
