round,dice_wt,time_sec,loss
0,0.1107,27.05,0.8893
1,0.3506,23.28,0.6494
2,0.2528,22.42,0.7472
3,0.4335,22.57,0.5665
4,0.835,22.17,0.165
5,0.9704,22.57,0.0296
6,0.9743,22.51,0.0257
7,0.9822,22.19,0.0178
8,0.9797,22.13,0.0203
9,0.9785,22.33,0.0215
10,0.984,22.61,0.016
11,0.9918,22.81,0.0082
12,0.9863,22.46,0.0137
13,0.99,22.31,0.01
14,0.9879,22.49,0.0121
15,0.9809,22.43,0.0191
16,0.9726,22.49,0.0274
17,0.9796,22.61,0.0204
18,0.9726,22.78,0.0274
19,0.9771,22.52,0.0229
20,0.9751,22.43,0.0249
21,0.9795,22.41,0.0205
22,0.98,22.56,0.02
23,0.976,22.92,0.024
24,0.9757,22.79,0.0243
25,0.9812,22.72,0.0188
