round,dice_wt,time_sec,loss
0,0.1107,26.83,0.8893
1,0.1542,24.07,0.8458
2,0.3177,24.04,0.6823
3,0.4076,24.32,0.5924
4,0.4801,24.36,0.5199
5,0.6826,23.49,0.3174
6,0.5346,24.61,0.4654
7,0.6507,23.89,0.3493
8,0.9476,23.89,0.0524
9,0.9406,23.6,0.0594
10,0.7714,23.8,0.2286
11,0.9396,23.73,0.0604
12,0.9267,23.67,0.0733
13,0.8051,23.94,0.1949
14,0.8647,23.87,0.1353
15,0.886,23.88,0.114
16,0.9529,23.78,0.0471
17,0.9538,24.15,0.0462
18,0.9258,24.22,0.0742
19,0.9682,23.45,0.0318
20,0.9186,23.96,0.0814
21,0.9757,23.82,0.0243
22,0.8715,23.71,0.1285
23,0.9588,23.9,0.0412
24,0.9044,23.84,0.0956
25,0.9414,24.33,0.0586
