round,dice_wt,time_sec,loss
0,0.1107,21.77,0.8893
1,0.1526,18.18,0.8474
2,0.9197,17.83,0.0803
3,0.711,18.24,0.289
4,0.7716,18.06,0.2284
5,0.9264,17.92,0.0736
6,0.9031,18.08,0.0969
7,0.8982,18.17,0.1018
8,0.6579,17.98,0.3421
9,0.6364,17.96,0.3636
10,0.556,18.29,0.444
11,0.5755,17.85,0.4245
12,0.4344,17.98,0.5656
13,0.4322,17.92,0.5678
14,0.4128,17.94,0.5872
15,0.4619,17.95,0.5381
16,0.4846,18.15,0.5154
17,0.4133,18.25,0.5867
18,0.4205,18.07,0.5795
19,0.4759,18.17,0.5241
20,0.3999,18.27,0.6001
21,0.4128,17.91,0.5872
22,0.4411,17.99,0.5589
23,0.4499,17.95,0.5501
24,0.4402,17.7,0.5598
25,0.5175,18.43,0.4825
