round,dice_wt,time_sec,loss
0,0.1107,27.17,0.8893
1,0.2826,23.72,0.7174
2,0.8158,24.04,0.1842
3,0.922,23.55,0.078
4,0.9634,23.42,0.0366
5,0.9691,23.24,0.0309
6,0.9635,23.59,0.0365
7,0.9336,23.29,0.0664
8,0.747,23.25,0.253
9,0.7466,23.14,0.2534
10,0.7365,23.32,0.2635
11,0.7974,23.16,0.2026
12,0.7082,23.18,0.2918
13,0.6593,23.36,0.3407
14,0.6485,23.25,0.3515
15,0.8195,23.0,0.1805
16,0.8182,23.53,0.1818
17,0.8802,23.73,0.1198
18,0.7663,22.99,0.2337
19,0.8606,23.32,0.1394
20,0.8437,23.33,0.1563
21,0.9094,23.39,0.0906
22,0.9183,23.2,0.0817
23,0.9139,23.24,0.0861
24,0.9133,23.24,0.0867
25,0.9324,23.51,0.0676
