round,dice_wt,time_sec,loss
0,0.1107,22.38,0.8893
1,0.1535,18.27,0.8465
2,0.3191,18.04,0.6809
3,0.3885,18.12,0.6115
4,0.4198,18.07,0.5802
5,0.5612,18.16,0.4388
6,0.505,18.95,0.495
7,0.5873,18.02,0.4127
8,0.4856,18.21,0.5144
9,0.8006,18.23,0.1994
10,0.4271,18.28,0.5729
11,0.4228,18.07,0.5772
12,0.7015,18.14,0.2985
13,0.6118,18.32,0.3882
14,0.6553,18.12,0.3447
15,0.8646,18.15,0.1354
16,0.7295,18.32,0.2705
17,0.8842,18.2,0.1158
18,0.7552,18.2,0.2448
19,0.8781,18.29,0.1219
20,0.9129,18.18,0.0871
21,0.9545,18.18,0.0455
22,0.9189,18.25,0.0811
23,0.9535,18.34,0.0465
24,0.9575,18.37,0.0425
25,0.964,19.63,0.036
