batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,288374,157749,157528,288595,1.0
2,0,287208,162397,160925,288680,1.0
3,0,133783,169918,109706,193995,1.0
4,0,444151,200621,200425,444347,0.9021
5,0,1567,12470,1511,12526,0.2413
6,0,72627,42636,39382,75881,1.0
7,0,93822,46230,45569,94483,0.9646
8,0,132261,51782,51774,132269,0.7829
9,0,99869,59342,49770,109441,0.9095
10,0,134894,77740,75979,136655,1.0
11,0,179305,78549,78168,179686,0.8701
12,0,136979,78584,78144,137419,1.0
13,0,105524,79080,61440,123164,0.9977
14,0,158516,83463,77225,164754,0.9375
15,0,118063,84845,80479,122429,1.0
16,0,168474,85112,85112,168474,1.0
17,0,89783,95788,62132,123439,1.0
18,0,105457,98011,80376,123092,1.0
19,0,215253,98512,98226,215539,0.9114
20,0,112805,98996,77396,134405,1.0
21,0,149977,105016,104405,150588,1.0
22,0,218184,107675,106932,218927,0.9769
23,0,112630,107935,82439,138126,1.0
24,0,200097,111614,111386,200325,1.0
25,0,174277,111967,109697,176547,1.0
26,0,299779,120374,120339,299814,0.8028
27,0,161484,138460,124716,175228,1.0
28,0,149290,147383,109485,187188,1.0
29,0,215874,147861,131892,231843,1.0
30,0,127441,150203,105162,172482,1.0
31,0,280419,157326,155067,282678,1.0
32,0,261921,158379,153092,267208,1.0
33,0,324719,173764,172856,325627,1.0
34,0,427013,224832,217532,434313,1.0
35,0,18175,20466,13550,25091,1.0
36,0,126235,34197,34197,126235,0.5418
37,0,172446,44986,44361,173071,0.5126
38,0,79693,46623,46581,79735,1.0
39,0,103969,51390,49910,105449,0.9466
40,0,214247,58948,58948,214247,0.5503
41,0,210155,71632,71632,210155,0.6817
42,0,200302,72110,72110,200302,0.72
43,0,111742,74298,71058,114982,1.0
44,0,200170,79454,79452,200172,0.7938
45,0,108678,83563,77336,114905,1.0
46,0,169308,87678,80208,176778,0.9074
47,0,141567,89503,87518,143552,1.0
48,0,197068,91161,91087,197142,0.9241
49,0,180233,98447,95714,182966,1.0
50,0,167244,104055,97208,174091,1.0
51,0,311683,113630,113625,311688,0.7291
52,0,76304,118171,71566,122909,1.0
53,0,92799,125934,83775,134958,1.0
54,0,287218,130763,129484,288497,0.8976
55,0,194568,140799,135260,200107,1.0
56,0,310328,146440,145320,311448,0.9332
57,0,305711,153071,151194,307588,0.9831
58,0,208209,157089,141123,224175,1.0
59,0,145514,157414,105380,197548,1.0
60,0,141752,161243,120337,182658,1.0
61,0,343179,168343,168079,343443,0.9788
62,0,328661,173462,171922,330201,1.0
63,0,344793,186129,186093,344829,1.0
64,0,360680,192199,192070,360809,1.0
65,0,256214,216245,196764,275695,1.0
66,0,428900,220576,219455,430021,1.0
67,0,368747,237250,230835,375162,1.0
