[2025-06-10 10:09:15,366] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:09:19,801] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:09:19,944] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:09:21,502] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:09:21,571] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:09:21,999] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:09:22,102] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:09:22,103] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:11:01,613] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:11:01,613] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:11:02,189] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:11:03,898] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:11:03,908] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:11:03,918] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:11:03,974] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:11:03,974] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:12:31,520] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:12:35,183] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:12:36,073] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:12:36,277] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:12:36,822] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:12:37,107] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:12:37,215] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:12:37,283] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:14:00,792] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:14:01,671] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:14:04,616] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:14:05,174] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:14:05,986] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:14:05,987] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:14:06,083] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:14:06,085] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:15:31,388] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:15:33,814] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:15:34,417] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:15:34,512] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:15:34,584] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:15:34,790] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:15:34,810] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:15:34,895] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:16:58,548] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:16:58,980] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:16:59,175] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:16:59,995] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:17:00,019] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:17:00,084] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:17:00,097] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:17:00,098] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:19:11,172] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:19:11,251] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:19:11,307] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:19:11,310] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:19:12,005] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:19:12,008] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:19:12,074] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:19:12,088] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:20:23,077] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:20:23,085] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:20:23,179] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:20:23,194] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:20:23,515] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:20:23,516] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:20:23,517] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:20:23,571] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:22:09,374] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:22:09,475] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:22:09,476] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:22:09,680] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:22:09,683] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:22:09,683] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:22:09,684] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:22:09,684] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:23:42,214] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:23:47,293] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:23:48,391] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:23:48,471] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:23:48,504] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:23:48,574] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:23:48,575] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:23:48,584] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:25:18,881] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:25:21,714] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:25:26,088] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:25:26,099] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:25:26,113] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:25:26,113] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:25:26,176] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:25:26,178] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:26:54,228] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:27:00,881] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:27:01,111] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:27:01,111] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:27:01,173] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:27:01,184] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:27:01,186] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:27:01,194] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:28:13,948] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:28:14,648] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:28:15,632] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:28:15,915] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:28:15,924] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:28:15,972] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:28:15,988] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:28:15,996] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:30:03,473] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:30:03,821] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:30:03,884] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:30:03,888] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:30:04,081] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:30:04,096] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:30:04,107] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:30:04,133] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:31:11,231] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:31:12,329] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:31:12,335] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:31:12,508] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:31:12,570] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:31:12,774] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:31:13,113] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:31:13,171] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:32:59,185] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:32:59,771] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:32:59,774] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:32:59,779] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:32:59,779] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:32:59,786] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:32:59,791] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:32:59,791] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:34:35,512] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:34:37,405] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:34:37,473] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:34:37,475] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:34:37,487] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:34:37,701] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:34:37,702] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:34:37,702] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:36:03,974] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:36:05,109] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:36:09,880] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:36:09,986] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:36:09,987] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:36:10,292] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:36:10,293] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:36:10,491] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:37:34,295] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:37:35,577] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:37:39,208] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:37:39,880] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:37:42,106] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:37:42,371] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:37:42,381] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:37:42,577] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:38:59,552] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:38:59,718] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:39:00,309] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:39:01,472] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:39:01,473] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:39:01,487] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:39:01,490] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:39:01,490] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:40:49,831] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:40:51,296] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:40:51,393] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:40:51,410] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:40:51,411] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:40:51,605] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:40:51,670] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:40:51,672] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:42:01,633] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:42:04,070] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:42:04,478] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:42:04,586] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:42:05,073] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:42:05,076] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:42:05,078] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:42:05,083] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:43:52,383] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:43:52,607] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:43:52,776] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:43:52,781] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:43:52,802] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:43:53,073] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:43:53,288] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:43:53,391] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:45:29,177] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:45:30,509] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:45:30,690] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:45:30,710] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:45:30,882] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:45:30,905] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:45:30,970] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:45:30,992] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:47:01,605] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:47:02,481] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:47:02,481] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:47:02,898] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:47:02,904] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:47:03,080] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:47:03,083] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:47:03,085] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:48:44,772] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:48:44,774] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:48:44,877] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:48:44,973] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:48:44,991] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:48:44,999] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:48:45,001] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:48:45,002] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:50:32,089] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:50:32,488] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:50:32,488] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:50:32,604] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:50:32,718] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:50:32,726] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:50:32,770] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:50:32,771] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:52:21,283] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:52:21,744] [INFO] Model initialized on device: cuda:0
