round,dice_wt,time_sec,loss
0,0.1107,21.72,0.8893
1,0.2559,18.51,0.7441
2,0.3349,18.36,0.6651
3,0.4253,18.27,0.5747
4,0.3424,18.56,0.6576
5,0.404,18.44,0.596
6,0.3202,19.5,0.6798
7,0.4397,18.72,0.5603
8,0.5255,20.72,0.4745
9,0.43,18.44,0.57
10,0.414,18.08,0.586
11,0.731,18.0,0.269
12,0.5487,20.66,0.4513
13,0.5244,18.09,0.4756
14,0.6529,18.0,0.3471
15,0.6353,21.03,0.3647
16,0.5947,18.4,0.4053
17,0.8242,18.25,0.1758
18,0.6832,18.06,0.3168
19,0.8194,18.03,0.1806
20,0.9458,18.16,0.0542
21,0.8805,18.33,0.1195
22,0.9295,18.17,0.0705
23,0.9769,18.14,0.0231
24,0.9721,18.91,0.0279
25,0.9801,18.5,0.0199
