batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,177187,157749,151095,183841,1.0
2,0,203611,162397,159896,206112,1.0
3,0,171996,169918,140235,201679,1.0
4,0,252025,200621,198234,254412,1.0
5,0,8035,12470,7893,12612,1.0
6,0,48424,42636,41232,49828,1.0
7,0,53030,46230,45466,53794,1.0
8,0,64765,51782,51563,64984,1.0
9,0,103643,59342,58931,104054,1.0
10,0,371829,77740,77188,372381,0.4146
11,0,96791,78549,77286,98054,1.0
12,0,81535,78584,75151,84968,1.0
13,0,88110,79080,70212,96978,1.0
14,0,108105,83463,82630,108938,1.0
15,0,96776,84845,83557,98064,1.0
16,0,97955,85112,84625,98442,1.0
17,0,93695,95788,76804,112679,1.0
18,0,106491,98011,92880,111622,1.0
19,0,312455,98512,98474,312493,0.6302
20,0,108939,98996,95430,112505,1.0
21,0,121346,105016,104778,121584,1.0
22,0,126484,107675,106704,127455,1.0
23,0,126033,107935,105968,128000,1.0
24,0,135605,111614,111375,135844,1.0
25,0,135232,111967,111439,135760,1.0
26,0,149595,120374,118137,151832,1.0
27,0,168563,138460,135652,171371,1.0
28,0,156649,147383,132662,171370,1.0
29,0,456033,147861,146297,457597,0.6394
30,0,170358,150203,138978,181583,1.0
31,0,172796,157326,150275,179847,1.0
32,0,177817,158379,155999,180197,1.0
33,0,295883,173764,173626,296021,1.0
34,0,374049,224832,223045,375836,1.0
35,0,27060,20466,19643,27883,1.0
36,0,40223,34197,33878,40542,1.0
37,0,51479,44986,42713,53752,1.0
38,0,54815,46623,46590,54848,1.0
39,0,57093,51390,49598,58885,1.0
40,0,69985,58948,58857,70076,1.0
41,0,80238,71632,71357,80513,1.0
42,0,84185,72110,71864,84431,1.0
43,0,88644,74298,73047,89895,1.0
44,0,89399,79454,78438,90415,1.0
45,0,96541,83563,80999,99105,1.0
46,0,101724,87678,85913,103489,1.0
47,0,103871,89503,88918,104456,1.0
48,0,100225,91161,90809,100577,1.0
49,0,109405,98447,96964,110888,1.0
50,0,384287,104055,100132,388210,0.5159
51,0,168695,113630,113439,168886,1.0
52,0,119180,118171,112345,125006,1.0
53,0,153343,125934,121665,157612,1.0
54,0,146528,130763,128204,149087,1.0
55,0,158779,140799,138488,161090,1.0
56,0,156497,146440,143391,159546,1.0
57,0,188216,153071,152314,188973,1.0
58,0,177107,157089,155118,179078,1.0
59,0,176825,157414,153195,181044,1.0
60,0,175014,161243,158459,177798,1.0
61,0,186198,168343,166531,188010,1.0
62,0,191755,173462,169723,195494,1.0
63,0,208387,186129,183696,210820,1.0
64,0,227512,192199,191471,228240,1.0
65,0,227949,216245,209996,234198,1.0
66,0,293890,220576,220439,294027,1.0
67,0,259548,237250,230500,266298,1.0
