batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,480583,157749,157575,480757,0.6555
2,0,454669,162397,162333,454733,0.714
3,0,306395,169918,166290,310023,1.0
4,0,540747,200621,200505,540863,0.7414
5,0,99204,12470,11689,99985,0.2338
6,0,206798,42636,42359,207075,0.4091
7,0,145506,46230,46201,145535,0.6349
8,0,447956,51782,51782,447956,0.2312
9,0,328214,59342,59106,328450,0.3599
10,0,549543,77740,77632,549651,0.2825
11,0,520320,78549,78529,520340,0.3018
12,0,361170,78584,78547,361207,0.4349
13,0,376819,79080,75895,380004,0.3994
14,0,343771,83463,83303,343931,0.4844
15,0,311801,84845,84744,311902,0.5434
16,0,433730,85112,85112,433730,0.3925
17,0,251365,95788,92331,254822,0.7247
18,0,312489,98011,95215,315285,0.604
19,0,373919,98512,98512,373919,0.5269
20,0,284404,98996,95230,288170,0.6609
21,0,373505,105016,105016,373505,0.5623
22,0,583154,107675,107408,583421,0.3682
23,0,262254,107935,106663,263526,0.8095
24,0,412632,111614,111611,412635,0.541
25,0,512370,111967,111824,512513,0.4364
26,0,381302,120374,120321,381355,0.631
27,0,270785,138460,137723,271522,1.0
28,0,469626,147383,144539,472470,0.6118
29,0,495951,147861,147573,496239,0.5948
30,0,376320,150203,149145,377378,0.7904
31,0,452285,157326,156949,452662,0.6934
32,0,393046,158379,157698,393727,0.8011
33,0,472414,173764,173657,472521,0.735
34,0,691731,224832,224570,691993,0.6491
35,0,91661,20466,20204,91923,0.4396
36,0,261366,34197,34197,261366,0.2617
37,0,303641,44986,44962,303665,0.2961
38,0,141036,46623,46621,141038,0.6611
39,0,233907,51390,51337,233960,0.4389
40,0,340042,58948,58948,340042,0.3467
41,0,269972,71632,71632,269972,0.5307
42,0,294266,72110,72110,294266,0.4901
43,0,338383,74298,74189,338492,0.4384
44,0,344842,79454,79454,344842,0.4608
45,0,327904,83563,82858,328609,0.5043
46,0,282300,87678,87494,282484,0.6195
47,0,223292,89503,89346,223449,0.7997
48,0,292889,91161,91161,292889,0.6225
49,0,320488,98447,98422,320513,0.6142
50,0,557631,104055,101134,560552,0.3608
51,0,460836,113630,113630,460836,0.4931
52,0,228917,118171,116140,230948,1.0
53,0,316571,125934,122224,320281,0.7632
54,0,437492,130763,130616,437639,0.5969
55,0,280653,140799,139479,281973,0.9893
56,0,404243,146440,146219,404464,0.723
57,0,455546,153071,153048,455569,0.6719
58,0,332588,157089,156945,332732,0.9434
59,0,377680,157414,149254,385840,0.7737
60,0,280924,161243,155365,286802,1.0
61,0,433224,168343,168334,433233,0.7771
62,0,415572,173462,173417,415617,0.8345
63,0,448336,186129,186127,448338,0.8303
64,0,455735,192199,192176,455758,0.8433
65,0,341465,216245,215104,342606,1.0
66,0,605172,220576,220573,605175,0.729
67,0,470727,237250,236669,471308,1.0
