round,dice_wt,time_sec,loss
0,0.1107,27.79,0.8893
1,0.2845,23.95,0.7155
2,0.8033,23.79,0.1967
3,0.9592,23.45,0.0408
4,0.9757,23.47,0.0243
5,0.9773,23.58,0.0227
6,0.9773,23.4,0.0227
7,0.9107,23.97,0.0893
8,0.6715,23.57,0.3285
9,0.7364,23.55,0.2636
10,0.6581,23.3,0.3419
11,0.7563,23.59,0.2437
12,0.8199,23.58,0.1801
13,0.6744,23.28,0.3256
14,0.7177,23.37,0.2823
15,0.8043,23.66,0.1957
16,0.7912,23.29,0.2088
17,0.7888,24.01,0.2112
18,0.7029,23.34,0.2971
19,0.8494,23.21,0.1506
20,0.7801,23.12,0.2199
21,0.8701,23.44,0.1299
22,0.8785,23.41,0.1215
23,0.8855,23.77,0.1145
24,0.8733,23.31,0.1267
25,0.9132,23.77,0.0868
