batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,340132,157749,157539,340342,0.9258
2,0,394703,162397,161836,395264,0.8189
3,0,255556,169918,162154,263320,1.0
4,0,501830,200621,200511,501940,0.7989
5,0,17968,12470,11649,18789,1.0
6,0,88289,42636,42473,88452,0.9604
7,0,90307,46230,46165,90372,1.0
8,0,250560,51782,51781,250561,0.4133
9,0,277663,59342,59220,277785,0.4264
10,0,662500,77740,77703,662537,0.2346
11,0,320247,78549,78248,320548,0.4882
12,0,118838,78584,78299,119123,1.0
13,0,240964,79080,75602,244442,0.6186
14,0,263756,83463,83301,263918,0.6313
15,0,213505,84845,84792,213558,0.7941
16,0,278895,85112,85112,278895,0.6104
17,0,161350,95788,93136,164002,1.0
18,0,166579,98011,96585,168005,1.0
19,0,399491,98512,98512,399491,0.4932
20,0,160103,98996,98190,160909,1.0
21,0,219301,105016,105010,219307,0.9577
22,0,373719,107675,107594,373800,0.5757
23,0,162935,107935,107414,163456,1.0
24,0,290538,111614,111612,290540,0.7683
25,0,328736,111967,111881,328822,0.6805
26,0,320533,120374,120315,320592,0.7506
27,0,205225,138460,138009,205676,1.0
28,0,257630,147383,144498,260515,1.0
29,0,587862,147861,146702,589021,0.4981
30,0,269520,150203,147647,272076,1.0
31,0,304293,157326,156101,305518,1.0
32,0,265783,158379,158134,266028,1.0
33,0,437077,173764,173669,437172,0.7945
34,0,669333,224832,224544,669621,0.6707
35,0,34420,20466,20156,34730,1.0
36,0,93417,34197,34197,93417,0.7321
37,0,172162,44986,44912,172236,0.5215
38,0,82029,46623,46622,82030,1.0
39,0,92341,51390,50976,92755,1.0
40,0,176973,58948,58948,176973,0.6662
41,0,172482,71632,71627,172487,0.8305
42,0,159902,72110,72110,159902,0.9019
43,0,129639,74298,73885,130052,1.0
44,0,216381,79454,79440,216395,0.7342
45,0,198708,83563,83195,199076,0.8358
46,0,167893,87678,87517,168054,1.0
47,0,136476,89503,89475,136504,1.0
48,0,160751,91161,91161,160751,1.0
49,0,211407,98447,98268,211586,0.9289
50,0,573490,104055,101953,575592,0.3543
51,0,421847,113630,113630,421847,0.5387
52,0,140680,118171,115922,142929,1.0
53,0,244752,125934,122485,248201,0.987
54,0,268235,130763,130652,268346,0.9738
55,0,213835,140799,140610,214024,1.0
56,0,329447,146440,146423,329464,0.8889
57,0,333135,153071,153071,333135,0.919
58,0,235922,157089,156935,236076,1.0
59,0,264000,157414,153717,267697,1.0
60,0,215183,161243,159719,216707,1.0
61,0,301972,168343,168304,302011,1.0
62,0,325772,173462,173202,326032,1.0
63,0,318781,186129,185916,318994,1.0
64,0,364207,192199,192153,364253,1.0
65,0,279359,216245,215235,280369,1.0
66,0,548679,220576,220576,548679,0.804
67,0,358388,237250,236261,359377,1.0
