batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,57750,157749,55748,159751,0.6979
2,0,78304,162397,73823,166878,0.8848
3,0,34642,169918,34278,170282,0.4026
4,0,117040,200621,113200,204461,1.0
5,0,395,12470,147,12718,0.0231
6,0,17840,42636,15042,45434,0.6621
7,0,20257,46230,19532,46955,0.8319
8,0,49747,51782,26144,75385,0.6936
9,0,15327,59342,10556,64113,0.3293
10,0,27132,77740,20976,83896,0.5
11,0,63192,78549,43290,98451,0.8794
12,0,41245,78584,40593,79236,1.0
13,0,26509,79080,24245,81344,0.5961
14,0,23909,83463,16591,90781,0.3655
15,0,24625,84845,21101,88369,0.4776
16,0,45775,85112,44811,86076,1.0
17,0,26585,95788,24008,98365,0.4881
18,0,21154,98011,18110,101055,0.3584
19,0,47607,98512,36985,109134,0.6778
20,0,29853,98996,26887,101962,0.5274
21,0,24664,105016,22950,106730,0.4301
22,0,51352,107675,47888,111139,0.8618
23,0,24257,107935,23213,108979,0.426
24,0,45620,111614,44577,112657,0.7914
25,0,31649,111967,28207,115409,0.4888
26,0,69115,120374,64842,124647,1.0
27,0,29357,138460,28380,139437,0.4071
28,0,26095,147383,24985,148493,0.3365
29,0,32963,147861,30442,150382,0.4049
30,0,41042,150203,40291,150954,0.5338
31,0,67842,157326,63359,161809,0.7831
32,0,72342,158379,69116,161605,0.8554
33,0,52622,173764,46193,180193,0.5127
34,0,90850,224832,88275,227407,0.7764
35,0,8362,20466,4375,24453,0.3578
36,0,28569,34197,25656,37110,1.0
37,0,42313,44986,33447,53852,1.0
38,0,13974,46623,13777,46820,0.5885
39,0,24910,51390,24356,51944,0.9378
40,0,48295,58948,44454,62789,1.0
41,0,39794,71632,39113,72313,1.0
42,0,47131,72110,45211,74030,1.0
43,0,28474,74298,26737,76035,0.7033
44,0,55214,79454,44522,90146,0.9878
45,0,44404,83563,39318,88649,0.887
46,0,38730,87678,36591,89817,0.8148
47,0,24071,89503,23794,89780,0.5301
48,0,38570,91161,37373,92358,0.8093
49,0,48940,98447,46316,101071,0.9165
50,0,24782,104055,22151,106686,0.4153
51,0,80055,113630,75965,117720,1.0
52,0,29841,118171,29267,118745,0.4929
53,0,8340,125934,7998,126276,0.1267
54,0,66568,130763,62098,135233,0.9184
55,0,40886,140799,39909,141776,0.563
56,0,73315,146440,71033,148722,0.9552
57,0,58577,153071,57256,154392,0.7417
58,0,36687,157089,36419,157357,0.4629
59,0,27374,157414,26936,157852,0.3413
60,0,23757,161243,22798,162202,0.2811
61,0,75558,168343,73195,170706,0.8576
62,0,77243,173462,74253,176452,0.8416
63,0,70594,186129,69487,187236,0.7422
64,0,99656,192199,97639,194216,1.0
65,0,49952,216245,49472,216725,0.4565
66,0,106499,220576,99342,227733,0.8724
67,0,71982,237250,69840,239392,0.5835
