batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,200428,157749,122656,235521,1.0
2,0,217496,162397,124579,255314,0.9759
3,0,163993,169918,100413,233498,0.8601
4,0,237418,200621,160910,277129,1.0
5,0,99815,12470,6685,105600,0.1266
6,0,158839,42636,28807,172668,0.3337
7,0,100197,46230,37876,108551,0.6978
8,0,232804,51782,45309,239277,0.3787
9,0,159346,59342,39253,179435,0.4375
10,0,221847,77740,59177,240410,0.4923
11,0,278662,78549,67993,289218,0.4702
12,0,202902,78584,63521,217965,0.5829
13,0,183773,79080,50002,212851,0.4698
14,0,194034,83463,53511,223986,0.4778
15,0,190719,84845,60857,214707,0.5669
16,0,220837,85112,73129,232820,0.6282
17,0,153476,95788,61755,187509,0.6587
18,0,233079,98011,61278,269812,0.4542
19,0,172435,98512,80557,190390,0.8462
20,0,197247,98996,64159,232084,0.5529
21,0,207282,105016,80439,231859,0.6939
22,0,235812,107675,86412,257075,0.6723
23,0,169266,107935,69769,207432,0.6727
24,0,182750,111614,87733,206631,0.8492
25,0,242507,111967,86601,267873,0.6466
26,0,179922,120374,92525,207771,0.8906
27,0,158210,138460,86351,210319,0.8211
28,0,218525,147383,90278,275630,0.6551
29,0,220664,147861,90285,278240,0.649
30,0,195519,150203,91475,254247,0.7196
31,0,229264,157326,118735,267855,0.8866
32,0,204907,158379,106677,256609,0.8314
33,0,207138,173764,122907,257995,0.9528
34,0,302472,224832,175895,351409,1.0
35,0,119889,20466,15547,124808,0.2491
36,0,150779,34197,30773,154203,0.3991
37,0,178433,44986,39823,183596,0.4338
38,0,114943,46623,36457,125109,0.5828
39,0,123876,51390,40595,134671,0.6029
40,0,174069,58948,54770,178247,0.6145
41,0,153631,71632,60650,164613,0.7369
42,0,167864,72110,64744,175230,0.739
43,0,190479,74298,57121,207656,0.5502
44,0,177244,79454,65747,190951,0.6886
45,0,176102,83563,56231,203434,0.5528
46,0,177405,87678,69483,195600,0.7105
47,0,156836,89503,68244,178095,0.7664
48,0,162709,91161,78492,175378,0.8951
49,0,209653,98447,79155,228945,0.6915
50,0,226182,104055,61307,268930,0.4559
51,0,204882,113630,102451,216061,0.9484
52,0,161580,118171,70434,209317,0.673
53,0,192783,125934,64762,253955,0.51
54,0,210837,130763,98667,242933,0.8123
55,0,163756,140799,95089,209466,0.9079
56,0,184246,146440,102677,228009,0.9006
57,0,229476,153071,120688,261859,0.9218
58,0,230994,157089,113590,274493,0.8276
59,0,201912,157414,86458,272868,0.6337
60,0,224424,161243,86488,299179,0.5782
61,0,236086,168343,133589,270840,0.9865
62,0,210082,173462,122267,261277,0.9359
63,0,229443,186129,143504,272068,1.0
64,0,213344,192199,155011,250532,1.0
65,0,210253,216245,134244,292254,0.9187
66,0,255040,220576,181226,294390,1.0
67,0,231338,237250,156077,312511,0.9989
