round,dice_wt,time_sec,loss
0,0.1107,28.15,0.8893
1,0.1362,24.5,0.8638
2,0.2905,24.42,0.7095
3,0.3538,23.95,0.6462
4,0.4509,24.15,0.5491
5,0.5572,23.86,0.4428
6,0.6107,24.57,0.3893
7,0.6758,23.88,0.3242
8,0.7041,23.88,0.2959
9,0.7622,23.76,0.2378
10,0.8053,24.01,0.1947
11,0.8204,23.88,0.1796
12,0.8255,24.07,0.1745
13,0.846,24.01,0.154
14,0.88,24.2,0.12
15,0.8466,24.01,0.1534
16,0.8476,24.34,0.1524
17,0.8763,24.53,0.1237
18,0.865,24.01,0.135
19,0.9056,23.91,0.0944
20,0.867,23.91,0.133
21,0.8473,24.0,0.1527
22,0.9053,24.01,0.0947
23,0.91,23.86,0.09
24,0.9261,24.9,0.0739
25,0.9176,24.27,0.0824
