batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,158787,157749,145770,170766,1.0
2,0,169093,162397,156314,175176,1.0
3,0,119641,169918,115781,173778,1.0
4,0,213676,200621,194837,219460,1.0
5,0,3876,12470,3876,12470,0.6217
6,0,40440,42636,37469,45607,1.0
7,0,48642,46230,44242,50630,1.0
8,0,58284,51782,51118,58948,1.0
9,0,76109,59342,58372,77079,1.0
10,0,88751,77740,76718,89773,1.0
11,0,87545,78549,77126,88968,1.0
12,0,79008,78584,74010,83582,1.0
13,0,72538,79080,65429,86189,1.0
14,0,93118,83463,81431,95150,1.0
15,0,91070,84845,81881,94034,1.0
16,0,90795,85112,83741,92166,1.0
17,0,71366,95788,63850,103304,1.0
18,0,100781,98011,91117,107675,1.0
19,0,212276,98512,98431,212357,0.927
20,0,107225,98996,95116,111105,1.0
21,0,114924,105016,104293,115647,1.0
22,0,122207,107675,106011,123871,1.0
23,0,116653,107935,103629,120959,1.0
24,0,127515,111614,110978,128151,1.0
25,0,127463,111967,110840,128590,1.0
26,0,136311,120374,117671,139014,1.0
27,0,157269,138460,133904,161825,1.0
28,0,146982,147383,128906,165459,1.0
29,0,168078,147861,143283,172656,1.0
30,0,112306,150203,109716,152793,1.0
31,0,166733,157326,148388,175671,1.0
32,0,168839,158379,154204,173014,1.0
33,0,209858,173764,172960,210662,1.0
34,0,255720,224832,220952,259600,1.0
35,0,26178,20466,19423,27221,1.0
36,0,37718,34197,33629,38286,1.0
37,0,45746,44986,41486,49246,1.0
38,0,50425,46623,46248,50800,1.0
39,0,55003,51390,49102,57291,1.0
40,0,67378,58948,58579,67747,1.0
41,0,78336,71632,71067,78901,1.0
42,0,82628,72110,71704,83034,1.0
43,0,87106,74298,72721,88683,1.0
44,0,85178,79454,77630,87002,1.0
45,0,77182,83563,73338,87407,1.0
46,0,99879,87678,86017,101540,1.0
47,0,100481,89503,88160,101824,1.0
48,0,97088,91161,90192,98057,1.0
49,0,104962,98447,96024,107385,1.0
50,0,128599,104055,99443,133211,1.0
51,0,121788,113630,112657,122761,1.0
52,0,105168,118171,103558,119781,1.0
53,0,129015,125934,115412,139537,1.0
54,0,141989,130763,126860,145892,1.0
55,0,152780,140799,137629,155950,1.0
56,0,149918,146440,141575,154783,1.0
57,0,184503,153071,151642,185932,1.0
58,0,166825,157089,154054,169860,1.0
59,0,158668,157414,147940,168142,1.0
60,0,165911,161243,155604,171550,1.0
61,0,180351,168343,164761,183933,1.0
62,0,184124,173462,168310,189276,1.0
63,0,200187,186129,182514,203802,1.0
64,0,211667,192199,190747,213119,1.0
65,0,213878,216245,203231,226892,1.0
66,0,286155,220576,220102,286629,1.0
67,0,251554,237250,228828,259976,1.0
