batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,548566,157749,157715,548600,0.575
2,0,811704,162397,162397,811704,0.4001
3,0,464269,169918,169844,464343,0.7315
4,0,885781,200621,200621,885781,0.453
5,0,20326,12470,8956,23840,0.7513
6,0,198625,42636,42636,198625,0.4293
7,0,170783,46230,46230,170783,0.5414
8,0,611426,51782,51782,611426,0.1694
9,0,425310,59342,59342,425310,0.2791
10,0,784996,77740,77740,784996,0.1981
11,0,613576,78549,78549,613576,0.256
12,0,337133,78584,78523,337194,0.4657
13,0,410814,79080,79065,410829,0.3849
14,0,511445,83463,83463,511445,0.3264
15,0,277249,84845,84838,277256,0.612
16,0,575932,85112,85112,575932,0.2956
17,0,291210,95788,89316,297682,0.6001
18,0,241607,98011,96208,243410,0.7905
19,0,757827,98512,98512,757827,0.26
20,0,248289,98996,98835,248450,0.7956
21,0,304025,105016,105016,304025,0.6908
22,0,679366,107675,107675,679366,0.317
23,0,265948,107935,107539,266344,0.8075
24,0,470598,111614,111614,470598,0.4743
25,0,444082,111967,111961,444088,0.5042
26,0,644319,120374,120374,644319,0.3736
27,0,351047,138460,138460,351047,0.7888
28,0,537853,147383,147365,537871,0.548
29,0,784187,147861,147749,784299,0.3768
30,0,551329,150203,149975,551557,0.5438
31,0,589565,157326,157319,589572,0.5337
32,0,594679,158379,158379,594679,0.5327
33,0,780618,173764,173764,780618,0.4452
34,0,1091626,224832,224742,1091716,0.4117
35,0,63821,20466,20458,63829,0.641
36,0,359232,34197,34197,359232,0.1904
37,0,449179,44986,44986,449179,0.2003
38,0,168019,46623,46623,168019,0.555
39,0,171164,51390,51361,171193,0.6
40,0,512584,58948,58948,512584,0.23
41,0,354798,71632,71632,354798,0.4038
42,0,394459,72110,72110,394459,0.3656
43,0,399815,74298,74255,399858,0.3714
44,0,525886,79454,79454,525886,0.3022
45,0,625093,83563,83143,625513,0.2658
46,0,403628,87678,87559,403747,0.4337
47,0,239608,89503,89487,239624,0.7469
48,0,330865,91161,91161,330865,0.551
49,0,430631,98447,98447,430631,0.4572
50,0,640254,104055,102885,641424,0.3208
51,0,729292,113630,113630,729292,0.3116
52,0,258750,118171,118159,258762,0.9133
53,0,323036,125934,124500,324470,0.7674
54,0,593972,130763,130604,594131,0.4396
55,0,361591,140799,140722,361668,0.7782
56,0,615088,146440,146435,615093,0.4761
57,0,619177,153071,153069,619179,0.4944
58,0,431804,157089,156945,431948,0.7267
59,0,553017,157414,154497,555934,0.5558
60,0,310027,161243,160840,310430,1.0
61,0,588790,168343,168343,588790,0.5718
62,0,628557,173462,173462,628557,0.5519
63,0,563623,186129,186129,563623,0.6605
64,0,667570,192199,192199,667570,0.5758
65,0,506441,216245,216178,506508,0.8536
66,0,817113,220576,220576,817113,0.5399
67,0,630803,237250,237205,630848,0.752
