round,dice_wt,time_sec,loss
0,0.1107,21.47,0.8893
1,0.3605,18.98,0.6395
2,0.4883,18.68,0.5117
3,0.9068,18.63,0.0932
4,0.9674,18.62,0.0326
5,0.967,18.33,0.033
6,0.9608,18.4,0.0392
7,0.9599,18.39,0.0401
8,0.9578,18.14,0.0422
9,0.9673,18.35,0.0327
10,0.9647,17.81,0.0353
11,0.973,17.89,0.027
12,0.9683,18.15,0.0317
13,0.9632,18.21,0.0368
14,0.9623,18.08,0.0377
15,0.9755,18.05,0.0245
16,0.975,18.25,0.025
17,0.9705,18.2,0.0295
18,0.968,18.31,0.032
19,0.9737,18.09,0.0263
20,0.9707,18.21,0.0293
21,0.9681,18.19,0.0319
22,0.9707,18.39,0.0293
23,0.9686,18.33,0.0314
24,0.969,18.32,0.031
25,0.9773,18.77,0.0227
