Experiment,Final Dice,Final HD95
FedWSOComp_C64_S20_NonIID,0.9796,44.7368
FedAvg_IID,0.9933,7.8976
FedWSOComp_C3_S60_NonIID,0.9788,50.2129
FedAvg_NonIID,0.9907,8.9944
FedWSOComp_C64_S60_NonIID,0.9773,10.4043
FedWSOComp_C64_S60_IID11.7957.,0.9799,11.7957
FedWSOComp_C3_S30_IID,0.9261,57.7035
FedWSOComp_C64_S20_IID,0.9496,58.5992
FedWSOComp_C32_S20_IID,0.9454,61.2277
FedWSOComp_C32_S60_IID,0.9801,11.7442
FedWSOComp_C32_S30_IID,0.9682,25.2515
FedWSOComp_C64_S30_IID,0.9698,26.5858
FedWSOComp_C32_S60_NonIID,0.9739,12.395
FedWSOComp_C3_S20_IID,0.7748,69.2333
FedWSOComp_C32_S20_NonIID,0.976,37.657
FedWSOComp_C3_S30_NonIID,0.9624,54.0244
FedWSOComp_C32_S30_NonIID,0.9773,27.0164
FedWSOComp_C64_S30_NonIID,0.9691,12.395
FedWSOComp_C3_S60_IID,0.9015,60.4745
FedWSOComp_C3_S20_NonIID,0.9221,61.3529
