batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,179199,157749,148711,188237,1.0
2,0,177550,162397,157014,182933,1.0
3,0,126239,169918,120311,175846,1.0
4,0,226391,200621,196373,230639,1.0
5,0,4674,12470,4632,12512,0.7404
6,0,40149,42636,37216,45569,1.0
7,0,49118,46230,44315,51033,1.0
8,0,58464,51782,51069,59177,1.0
9,0,76500,59342,58240,77602,1.0
10,0,103138,77740,76836,104042,1.0
11,0,88541,78549,77176,89914,1.0
12,0,80336,78584,74432,84488,1.0
13,0,71049,79080,64187,85942,1.0
14,0,93948,83463,81064,96347,1.0
15,0,92452,84845,82303,94994,1.0
16,0,91647,85112,84019,92740,1.0
17,0,85805,95788,71891,109702,1.0
18,0,103415,98011,91711,109715,1.0
19,0,225024,98512,98441,225095,0.8747
20,0,106729,98996,94751,110974,1.0
21,0,116079,105016,104383,116712,1.0
22,0,123930,107675,105947,125658,1.0
23,0,116462,107935,103267,121130,1.0
24,0,130250,111614,111163,130701,1.0
25,0,130746,111967,111017,131696,1.0
26,0,144827,120374,118192,147009,1.0
27,0,161035,138460,133887,165608,1.0
28,0,149217,147383,129202,167398,1.0
29,0,215951,147861,145401,218411,1.0
30,0,123935,150203,119519,154619,1.0
31,0,170789,157326,149763,178352,1.0
32,0,170479,158379,154274,174584,1.0
33,0,229777,173764,173165,230376,1.0
34,0,259853,224832,220346,264339,1.0
35,0,25874,20466,19395,26945,1.0
36,0,38321,34197,33591,38927,1.0
37,0,46378,44986,41728,49636,1.0
38,0,50247,46623,46218,50652,1.0
39,0,54426,51390,48978,56838,1.0
40,0,70793,58948,58661,71080,1.0
41,0,80665,71632,71220,81077,1.0
42,0,84566,72110,71777,84899,1.0
43,0,85188,74298,72491,86995,1.0
44,0,86223,79454,77429,88248,1.0
45,0,78023,83563,73205,88381,1.0
46,0,100385,87678,85745,102318,1.0
47,0,101181,89503,88390,102294,1.0
48,0,102052,91161,90348,102865,1.0
49,0,105522,98447,96062,107907,1.0
50,0,142659,104055,99527,147187,1.0
51,0,128329,113630,112782,129177,1.0
52,0,103476,118171,101657,119990,1.0
53,0,132199,125934,118022,140111,1.0
54,0,147765,130763,127315,151213,1.0
55,0,155903,140799,137785,158917,1.0
56,0,154852,146440,142677,158615,1.0
57,0,193113,153071,151731,194453,1.0
58,0,168600,157089,154240,171449,1.0
59,0,157026,157414,146751,167689,1.0
60,0,169640,161243,157400,173483,1.0
61,0,187873,168343,166501,189715,1.0
62,0,188642,173462,167888,194216,1.0
63,0,206333,186129,183496,208966,1.0
64,0,217268,192199,190901,218566,1.0
65,0,217410,216245,205079,228576,1.0
66,0,312030,220576,220081,312525,1.0
67,0,255758,237250,228555,264453,1.0
