Round,EncodingMode,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
1,FEDAVG,0,154016352,154016352,1.0
2,FEDAVG,0,154016352,154016352,1.0
3,FEDAVG,0,154016352,154016352,1.0
4,FEDAVG,0,154016352,154016352,1.0
5,FEDAVG,0,154016352,154016352,1.0
6,FEDAVG,0,154016352,154016352,1.0
7,FEDAVG,0,154016352,154016352,1.0
8,FEDAVG,0,154016352,154016352,1.0
9,FEDAVG,0,154016352,154016352,1.0
10,FEDAVG,0,154016352,154016352,1.0
11,FEDAVG,0,154016352,154016352,1.0
12,FEDAVG,0,154016352,154016352,1.0
13,FEDAVG,0,154016352,154016352,1.0
14,FEDAVG,0,154016352,154016352,1.0
15,FEDAVG,0,154016352,154016352,1.0
16,FEDAVG,0,154016352,154016352,1.0
17,FEDAVG,0,154016352,154016352,1.0
18,FEDAVG,0,154016352,154016352,1.0
19,FEDAVG,0,154016352,154016352,1.0
20,FEDAVG,0,154016352,154016352,1.0
21,FEDAVG,0,154016352,154016352,1.0
22,FEDAVG,0,154016352,154016352,1.0
23,FEDAVG,0,154016352,154016352,1.0
24,FEDAVG,0,154016352,154016352,1.0
25,FEDAVG,0,154016352,154016352,1.0
